offspring	mom	dad	mom.mm	dad.mm	year	off.age	return.year
MRA15_0001	UK	UK	mp	mp	mp	mp	2015
MRA15_0002	MR11_016	UK	1	mp	2010	5	2015
MRA15_0003	MR11A_097	MR11_054	0	0	2011	4	2015
MRA15_0004	UK	MR11_321	mp	0	2011	4	2015
MRA15_0005	MR10A_235	UK	1	mp	2010	5	2015
MRA15_0006	MR10A_271	MR10A_149	0	0	2010	5	2015
MRA15_0007	MR11_165	UK	1	mp	2010	5	2015
MRA15_0008	MR11_143	MR11_354	0	0	2011	4	2015
MRA15_0009	MR11_026	MR11_048	0	1	2011	4	2015
MRA15_0010	UK	UK	mp	mp	mp	mp	2015
MRA15_0011	MR11A_060	UK	0	mp	2010	5	2015
MRA15_0012	MR10A_277	MR10TH_186	0	1	2010	5	2015
MRA15_0013	MR11A_269	MR11_145	0	0	2011	4	2015
MRA15_0014	MR11A_282	MR11A_262	0	0	2011	4	2015
MRA15_0015	MR11_060	UK	0	mp	2010	5	2015
MRA15_0016	UK	UK	mp	mp	mp	mp	2015
MRA15_0017	MR10A_411	MR10A_434	0	0	2010	5	2015
MRA15_0018	MR11A_170	MR11_319	0	0	2011	4	2015
MRA15_0019	MR11_282	MR11_292	0	1	2011	4	2015
MRA15_0020	MR11A_020	MR11_373	1	0	2011	4	2015
MRA15_0021	UK	MR11_054	mp	0	2011	4	2015
MRA15_0022	MR11_031	UK	0	mp	2010	5	2015
MRA15_0023	MR10A_274	MR10TH_055	0	1	2010	5	2015
MRA15_0024	MR10A_203	MR10A_156	1	0	2010	5	2015
MRA15_0025	MR11A_011	MR11_316	0	0	2011	4	2015
MRA15_0026	MR11A_273	UK	0	mp	2010	5	2015
MRA15_0027	MR11_023	MR11_140	0	0	2011	4	2015
MRA15_0028	UK	MR10A_390	mp	0	2010	5	2015
MRA15_0029	UK	MR10A_294	mp	0	2010	5	2015
MRA15_0030	MR11_197	MR11A_150	0	0	2011	4	2015
MRA15_0031	MR11A_344	MR11_163	0	0	2011	4	2015
MRA15_0032	MR11A_273	UK	0	mp	2010	5	2015
MRA15_0033	MR11A_269	MR11_145	0	0	2011	4	2015
MRA15_0034	MR10TH_045	MR10TH_006	0	0	2010	5	2015
MRA15_0035	MR11A_054	MR11_110	0	0	2011	4	2015
MRA15_0036	UK	MR11_005	mp	0	2011	4	2015
MRA15_0037	MR11_122	MR11_312	1	0	2011	4	2015
MRA15_0038	MR10A_157	MR10TH_031	0	0	2010	5	2015
MRA15_0039	UK	UK	mp	mp	mp	mp	2015
MRA15_0041	UK	MR11_005	mp	0	2011	4	2015
MRA15_0042	UK	MR11_074	mp	0	2011	4	2015
MRA15_0043	MR10A_432	MR10TH_117	0	0	2010	5	2015
MRA15_0044	MR11_028	UK	0	mp	2010	5	2015
MRA15_0045	UK	MR11A_106	mp	0	2011	4	2015
MRA15_0046	UK	MR11A_106	mp	0	2011	4	2015
MRA15_0047	MR11A_306	MR11_048	0	0	2011	4	2015
MRA15_0048	MR11A_335	MR11_168	0	1	2011	4	2015
MRA15_0049	UK	UK	mp	mp	mp	mp	2015
MRA15_0050	UK	MR11_005	mp	0	2011	4	2015
MRA15_0051	MR11A_276	MR11_163	0	0	2011	4	2015
MRA15_0052	MR11A_226	MR11_005	0	0	2011	4	2015
MRA15_0053	MR10A_068	MR10TH_132	0	0	2010	5	2015
MRA15_0054	MR11A_269	MR11_145	0	0	2011	4	2015
MRA15_0055	UK	MR11_057	mp	0	2011	4	2015
MRA15_0056	UK	MR11A_120	mp	1	2011	4	2015
MRA15_0057	MR11_357	MR11_168	0	1	2011	4	2015
MRA15_0058	UK	MR11_090	mp	1	2011	4	2015
MRA15_0059	MR10A_432	MR10A_358	0	0	2010	5	2015
MRA15_0060	MR10TH_078	MR10TH_180	1	0	2010	5	2015
MRA15_0061	MR11A_273	MR11_077	0	0	2011	4	2015
MRA15_0062	MR10A_275	MR10TH_011	0	0	2010	5	2015
MRA15_0063	MR11_041	MR11_262	0	0	2011	4	2015
MRA15_0064	MR10A_217	MR10A_009	0	0	2010	5	2015
MRA15_0065	MR10TH_059	MR10TH_089	0	0	2010	5	2015
MRA15_0066	MR11_165	MR11_351	0	0	2011	4	2015
MRA15_0067	UK	UK	mp	mp	mp	mp	2015
MRA15_0068	MR10A_152	MR10A_054	0	0	2010	5	2015
MRA15_0069	MR11_011	MR11_005	0	0	2011	4	2015
MRA15_0070	MR11A_060	UK	0	mp	2010	5	2015
MRA15_0071	MR11A_344	MR11_307	0	0	2011	4	2015
MRA15_0072	MR11_016	UK	0	mp	2010	5	2015
MRA15_0073	MR10A_397	MR10A_043	0	0	2010	5	2015
MRA15_0074	MR11A_342	MR11_268	0	0	2011	4	2015
MRA15_0075	MR11_095	MR11A_140	0	0	2011	4	2015
MRA15_0076	MR11A_293	MR11A_183	0	0	2011	4	2015
MRA15_0077	MR11_026	MR11_048	0	0	2011	4	2015
MRA15_0078	MR11A_011	MR11_134	0	1	2011	4	2015
MRA15_0079	MR11A_201	MR11A_171	0	0	2011	4	2015
MRA15_0080	MR11A_128	MR11_003	1	0	2011	4	2015
MRA15_0081	MR11A_020	MR11_373	0	0	2011	4	2015
MRA15_0082	MR11A_093	MR11_257	1	1	2011	4	2015
MRA15_0083	MR11A_128	MR11_003	1	1	2011	4	2015
MRA15_0084	MR11A_095	MR11_235	0	0	2011	4	2015
MRA15_0085	MR11_056	UK	0	mp	2010	5	2015
MRA15_0086	UK	MR11_005	mp	0	2011	4	2015
MRA15_0087	UK	UK	mp	mp	mp	mp	2015
MRA15_0088	UK	MR10A_214	mp	0	2010	5	2015
MRA15_0089	UK	MR11_319	mp	0	2011	4	2015
MRA15_0090	UK	MR11_066	mp	0	2011	4	2015
MRA15_0091	MR11_197	UK	0	mp	2010	5	2015
MRA15_0092	MR11A_295	MR11A_229	0	1	2011	4	2015
MRA15_0093	MR10A_098	MR10A_078	0	0	2010	5	2015
MRA15_0094	MR10A_098	MR10A_078	0	0	2010	5	2015
MRA15_0095	MR11_024	UK	0	mp	2010	5	2015
MRA15_0096	MR11A_269	MR11_145	0	0	2011	4	2015
MRA15_0097	MR10TH_119	MR10TH_001	0	0	2010	5	2015
MRA15_0098	MR11_149	MR11_190	0	1	2011	4	2015
MRA15_0099	MR11A_054	MR11_175	0	0	2011	4	2015
MRA15_0100	MR11_183	MR11_059	0	0	2011	4	2015
MRA15_0101	UK	UK	mp	mp	mp	mp	2015
MRA15_0102	UK	MR11_005	mp	0	2011	4	2015
MRA15_0103	MR11A_052	MR11_248	0	0	2011	4	2015
MRA15_0104	MR11A_292	MR11_287	0	0	2011	4	2015
MRA15_0105	MR11_377	MR11A_070	0	1	2011	4	2015
MRA15_0106	UK	UK	mp	mp	mp	mp	2015
MRA15_0107	UK	MR11_107	mp	0	2011	4	2015
MRA15_0108	MR11_092	MR11_014	0	0	2011	4	2015
MRA15_0109	MR10A_388	MR10TH_023	0	0	2010	5	2015
MRA15_0110	MR11_061	MR11_192	1	0	2011	4	2015
MRA15_0111	MR11_060	MR11_163	0	0	2011	4	2015
MRA15_0112	UK	UK	mp	mp	mp	mp	2015
MRA15_0113	MR11_281	MR11A_194	0	0	2011	4	2015
MRA15_0114	UK	UK	mp	mp	mp	mp	2015
MRA15_0115	UK	MR11_347	mp	0	2011	4	2015
MRA15_0117	MR11A_084	MR11_189	0	1	2011	4	2015
MRA15_0118	MR11_350	MR11_270	0	0	2011	4	2015
MRA15_0119	MR11A_095	MR11_309	0	0	2011	4	2015
MRA15_0120	UK	MR11_321	mp	0	2011	4	2015
MRA15_0121	MR11_023	MR11_054	0	0	2011	4	2015
MRA15_0122	MR11_096	MR11_251	0	1	2011	4	2015
MRA15_0123	MR10A_180	MR10TH_091	0	0	2010	5	2015
MRA15_0124	MR11A_273	MR11_077	0	1	2011	4	2015
MRA15_0125	MR11A_011	MR11_134	0	1	2011	4	2015
MRA15_0126	UK	MR11_373	mp	0	2011	4	2015
MRA15_0127	UK	UK	mp	mp	mp	mp	2015
MRA15_0128	MR11_016	UK	0	mp	2010	5	2015
MRA15_0129	UK	UK	mp	mp	mp	mp	2015
MRA15_0131	MR11A_082	MR11_365	0	0	2011	4	2015
MRA15_0132	MR11A_143	MR11_054	1	0	2011	4	2015
MRA15_0133	UK	MR11_321	mp	0	2011	4	2015
MRA15_0134	MR11A_345	UK	0	mp	2010	5	2015
MRA15_0135	MR11A_170	UK	0	mp	2010	5	2015
MRA15_0136	MR11A_269	UK	0	mp	2010	5	2015
MRA15_0137	MR11A_166	MR11_250	0	0	2011	4	2015
MRA15_0138	MR11A_011	MR11A_194	0	0	2011	4	2015
MRA15_0139	MR11_242	MR11_245	0	1	2011	4	2015
MRA15_0140	MR11_023	MR11_054	1	0	2011	4	2015
MRA15_0141	MR11_226	MR11_005	0	0	2011	4	2015
MRA15_0142	MR11_092	MR11_014	0	0	2011	4	2015
MRA15_0143	MR11_165	MR11A_043	0	0	2011	4	2015
MRA15_0144	MR11A_054	MR11_110	0	0	2011	4	2015
MRA15_0145	MR11_061	MR11_192	1	0	2011	4	2015
MRA15_0146	MR11A_052	MR11_248	0	0	2011	4	2015
MRA15_0147	MR10A_250	MR10A_248	0	0	2010	5	2015
MRA15_0148	MR11A_095	MR11_309	0	0	2011	4	2015
MRA15_0149	MR10A_045	UK	0	mp	2010	5	2015
MRA15_0150	MR11A_045	MR11_175	0	0	2011	4	2015
MRA15_0151	UK	MR10TH_011	mp	0	2010	5	2015
MRA15_0152	MR11A_290	MR11_319	0	1	2011	4	2015
MRA15_0153	MR11A_269	MR11_145	0	0	2011	4	2015
MRA15_0154	MR11A_020	MR11_373	0	0	2011	4	2015
MRA15_0155	MR11_226	MR11_005	0	0	2011	4	2015
MRA15_0156	MR11_165	MR11A_043	0	0	2011	4	2015
MRA15_0157	MR11A_293	UK	1	mp	2010	5	2015
MRA15_0158	UK	MR11A_030	mp	0	2011	4	2015
MRA15_0159	MR10A_203	MR10A_156	1	0	2010	5	2015
MRA15_0160	UK	MR11_334	mp	0	2011	4	2015
MRA15_0161	MR11_041	UK	0	mp	2010	5	2015
MRA15_0162	MR10A_203	MR10A_156	1	0	2010	5	2015
MRA15_0163	UK	MR11_305	mp	0	2011	4	2015
MRA15_0164	MR11A_272	MR11_351	1	0	2011	4	2015
MRA15_0165	MR11_038	MR11A_229	0	0	2011	4	2015
MRA15_0166	MR11_034	UK	0	mp	2010	5	2015
MRA15_0167	MR11A_293	MR11A_183	0	1	2011	4	2015
MRA15_0168	MR11A_249	MR11A_120	1	0	2011	4	2015
MRA15_0169	UK	MR12TH_373	mp	1	2012	3	2015
MRA15_0170	MR11_234	MR11A_218	0	0	2011	4	2015
MRA15_0171	MR11A_161	UK	0	mp	2010	5	2015
MRA15_0172	MR11A_156	MR11_136	1	0	2011	4	2015
MRA15_0173	UK	UK	mp	mp	mp	mp	2015
MRA15_0174	MR11A_275	UK	0	mp	2010	5	2015
MRA15_0175	MR11A_269	MR11_145	0	0	2011	4	2015
MRA15_0176	UK	UK	mp	mp	mp	mp	2015
MRA15_0177	MR10A_424	MR10A_372	0	0	2010	5	2015
MRA15_0178	UK	UK	mp	mp	mp	mp	2015
MRA15_0179	MR11_357	MR11A_146	0	0	2011	4	2015
MRA15_0180	UK	UK	mp	mp	mp	mp	2015
MRA15_0182	UK	UK	mp	mp	mp	mp	2015
MRA15_0183	UK	UK	mp	mp	mp	mp	2015
