offspring	mom	dad	mom.mm	dad.mm	year	off.age	return.year
MRA14_0004	MR10A_045	MR10A_156	0	0	2010	4	2014
MRA14_0012	MR10TH_041	MR10A_046	0	0	2010	4	2014
MRA14_0018	MR10A_237	MR10TH_097	0	0	2010	4	2014
MRA14_0019	MR10A_203	MR10A_156	1	0	2010	4	2014
MRA14_0020	MR10A_275	MR10TH_042	0	0	2010	4	2014
MRA14_0022	UK	MR10TH_163	mp	0	2010	4	2014
MRA14_0029	UK	MR10TH_163	mp	0	2010	4	2014
MRA14_0031	MR10A_432	MR10TH_117	0	0	2010	4	2014
MRA14_0042	UK	MR10TH_238	mp	1	2010	4	2014
MRA14_0047	UK	MR10A_198	mp	0	2010	4	2014
MRA14_0050	MR10TH_041	MR10TH_027	0	0	2010	4	2014
MRA14_0051	UK	MR10TH_027	mp	0	2010	4	2014
MRA14_0055	MR10TH_154	MR10TH_158	0	0	2010	4	2014
MRA14_0056	MR10A_213	MR10TH_033	0	0	2010	4	2014
MRA14_0060	MR10A_203	MR10A_156	1	0	2010	4	2014
MRA14_0062	MR10A_061	MR10TH_037	1	1	2010	4	2014
MRA14_0065	UK	MR10TH_011	mp	0	2010	4	2014
MRA14_0066	MR10A_257	MR10TH_125	0	0	2010	4	2014
MRA14_0067	MR10A_098	MR10A_078	0	0	2010	4	2014
MRA14_0070	UK	MR10TH_200	mp	0	2010	4	2014
MRA14_0074	MR10A_061	MR10A_239	1	1	2010	4	2014
MRA14_0077	MR10A_326	MR10TH_062	0	0	2010	4	2014
MRA14_0078	UK	MR10TH_182	mp	0	2010	4	2014
MRA14_0079	MR10A_235	MR10TH_165	0	0	2010	4	2014
MRA14_0081	MR10TH_078	MR10TH_015	0	1	2010	4	2014
MRA14_0084	MR10A_352	MR10TH_011	0	0	2010	4	2014
MRA14_0085	MR10A_274	UK	0	mp	2010	4	2014
MRA14_0089	MR10A_201	MR10TH_095	0	0	2010	4	2014
MRA14_0094	UK	MR10TH_037	mp	1	2010	4	2014
MRA14_0095	MR10TH_041	MR10TH_027	0	0	2010	4	2014
MRA14_0096	UK	MR10A_198	mp	0	2010	4	2014
MRA14_0100	MR10A_282	MR10TH_095	0	0	2010	4	2014
MRA14_0103	MR10A_249	MR10TH_105	0	0	2010	4	2014
MRA14_0105	UK	MR10TH_006	mp	0	2010	4	2014
MRA14_0107	MR10A_450	MR10TH_011	0	0	2010	4	2014
MRA14_0108	MR10A_235	MR10TH_165	0	0	2010	4	2014
MRA14_0110	MR10A_152	MR10A_054	0	0	2010	4	2014
MRA14_0111	MR10A_479	MR10TH_137	0	0	2010	4	2014
MRA14_0114	UK	MR10TH_069	mp	0	2010	4	2014
MRA14_0115	MR10A_388	MR10TH_027	0	1	2010	4	2014
MRA14_0117	MR10A_036	MR10A_141	0	0	2010	4	2014
MRA14_0119	MR10A_068	MR10TH_006	1	0	2010	4	2014
MRA14_0120	MR10A_249	MR10TH_069	0	0	2010	4	2014
MRA14_0121	MR10A_102	MR10TH_033	0	0	2010	4	2014
MRA14_0125	MR10A_466	MR10A_442	1	0	2010	4	2014
MRA14_0128	MR10TH_255	MR10TH_248	1	0	2010	4	2014
MRA14_0129	UK	MR10TH_142	mp	0	2010	4	2014
MRA14_0131	MR10A_417	MR10A_359	0	0	2010	4	2014
MRA14_0134	MR10A_249	MR10A_258	0	0	2010	4	2014
MRA14_0146	MR10TH_059	MR10TH_027	0	0	2010	4	2014
MRA14_0148	MR10A_388	MR10TH_089	0	0	2010	4	2014
MRA14_0150	MR10A_432	MR10TH_117	0	0	2010	4	2014
MRA14_0166	UK	MR10A_030	mp	1	2010	4	2014
MRA14_0187	UK	MR10A_294	mp	0	2010	4	2014
MRA14_0194	UK	MR10TH_169	mp	1	2010	4	2014
MRA14_0205	UK	MR10A_167	mp	0	2010	4	2014
MRA14_0212	MR10A_479	MR10TH_137	0	0	2010	4	2014
MRSS14_2010	UK	MR10TH_182	mp	1	2010	4	2014
MRSS14_2023	UK	MR10A_038	mp	1	2010	4	2014
MRSS14_2101	UK	MR10A_028	mp	1	2010	4	2014
MRA14_0001	MR09A_0437	UK	1	mp	2009	5	2014
MRA14_0002	MR09A_0724	MR09A_0675	0	0	2009	5	2014
MRA14_0003	MR09A_0699	MR09A_1102	0	1	2009	5	2014
MRA14_0005	MR09A_0093	UK	1	mp	2009	5	2014
MRA14_0006	MR09A_0504	MR09A_1164	0	0	2009	5	2014
MRA14_0007	UK	MR09A_0177	mp	0	2009	5	2014
MRA14_0008	MR09A_0427	MR09A_0251	0	1	2009	5	2014
MRA14_0010	MR09A_1235	MR09A_0610	0	0	2009	5	2014
MRA14_0011	MR09A_1109	MR09A_0459	0	0	2009	5	2014
MRA14_0013	MR09A_0250	MR09A_0610	0	1	2009	5	2014
MRA14_0014	MR09A_0668	MR09A_0251	1	1	2009	5	2014
MRA14_0015	UK	MR09A_0878	mp	0	2009	5	2014
MRA14_0016	MR09A_0912	MR09A_0448	1	0	2009	5	2014
MRA14_0017	MR09A_0110	MR09A_0900	0	0	2009	5	2014
MRA14_0021	MR09A_0395	MR09A_1112	1	0	2009	5	2014
MRA14_0024	MR09A_0916	MR09A_0780	0	1	2009	5	2014
MRA14_0025	MR09A_0683	MR09A_0141	0	0	2009	5	2014
MRA14_0026	MR09A_0149	MR09A_0448	0	0	2009	5	2014
MRA14_0028	MR09A_0250	UK	0	mp	2009	5	2014
MRA14_0030	UK	MR09A_0042	mp	0	2009	5	2014
MRA14_0032	MR09A_0305	MR09A_1220	0	0	2009	5	2014
MRA14_0033	UK	MR09A_0605	mp	0	2009	5	2014
MRA14_0034	MR09A_1235	MR09A_0418	0	0	2009	5	2014
MRA14_0035	MR09A_0550	MR09A_1164	0	0	2009	5	2014
MRA14_0038	UK	MR09A_0301	mp	1	2009	5	2014
MRA14_0039	MR09A_0268	MR09A_0374	1	1	2009	5	2014
MRA14_0040	MR09A_0569	MR09A_0908	0	0	2009	5	2014
MRA14_0041	MR09A_0266	MR09A_0475	0	0	2009	5	2014
MRA14_0043	MR09A_0410	MR09A_0101	0	0	2009	5	2014
MRA14_0046	MR09A_0345	MR09A_0897	1	0	2009	5	2014
MRA14_0048	MR09A_0686	MR09A_0459	0	0	2009	5	2014
MRA14_0049	MR09A_0444	MR09A_0714	1	0	2009	5	2014
MRA14_0052	MR09A_0857	MR09A_1100	1	1	2009	5	2014
MRA14_0053	MR09A_0970	MR09A_0976	1	0	2009	5	2014
MRA14_0054	MR09A_0238	MR09A_0209	0	0	2009	5	2014
MRA14_0058	MR09A_0576	MR09A_1353	0	0	2009	5	2014
MRA14_0061	MR09A_0548	MR09A_0473	1	1	2009	5	2014
MRA14_0063	MR09A_0171	MR09A_0820	0	0	2009	5	2014
MRA14_0071	MR09A_0389	MR09A_0870	0	0	2009	5	2014
MRA14_0072	MR09A_0954	MR09A_0370	1	1	2009	5	2014
MRA14_0073	MR09A_0921	MR09A_1156	0	0	2009	5	2014
MRA14_0076	MR09A_1082	UK	1	mp	2009	5	2014
MRA14_0080	MR09A_0984	MR09A_0948	0	0	2009	5	2014
MRA14_0086	UK	MR09A_1244	mp	0	2009	5	2014
MRA14_0087	MR09A_0364	MR09A_0915	0	0	2009	5	2014
MRA14_0088	UK	MR09A_0052	mp	0	2009	5	2014
MRA14_0091	MR09A_0921	MR09A_1288	0	0	2009	5	2014
MRA14_0098	UK	MR09A_0042	mp	0	2009	5	2014
MRA14_0099	MR09A_0474	MR09A_1374	0	1	2009	5	2014
MRA14_0101	MR09A_0686	MR09A_0459	0	0	2009	5	2014
MRA14_0109	MR09A_0974	MR09A_1054	0	0	2009	5	2014
MRA14_0144	MR09A_0166	UK	1	mp	2009	5	2014
MRA14_0152	MR09A_0668	MR09A_0899	0	0	2009	5	2014
MRA14_0210	MR09A_0235	MR09A_0613	0	0	2009	5	2014
MRSS14_2007	UK	MR09A_0022	mp	0	2009	5	2014
MRSS14_2021	UK	MR09A_1258	mp	1	2009	5	2014
MRSS14_2048	MR09A_0730	MR09A_0955	0	0	2009	5	2014
MRA14_0027	UK	MR08_857	mp	0	2008	6	2014
MRA14_0160	UK	MR08_193	mp	1	2008	6	2014
MRA14_0009	UK	UK	mp	mp	mp	mp	2014
MRA14_0023	UK	UK	mp	mp	mp	mp	2014
MRA14_0036	UK	UK	mp	mp	mp	mp	2014
MRA14_0037	UK	UK	mp	mp	mp	mp	2014
MRA14_0044	UK	UK	mp	mp	mp	mp	2014
MRA14_0045	UK	UK	mp	mp	mp	mp	2014
MRA14_0059	UK	UK	mp	mp	mp	mp	2014
MRA14_0068	UK	UK	mp	mp	mp	mp	2014
MRA14_0069	UK	UK	mp	mp	mp	mp	2014
MRA14_0075	UK	UK	mp	mp	mp	mp	2014
MRA14_0082	UK	UK	mp	mp	mp	mp	2014
MRA14_0083	UK	UK	mp	mp	mp	mp	2014
MRA14_0090	UK	UK	mp	mp	mp	mp	2014
MRA14_0092	UK	UK	mp	mp	mp	mp	2014
MRA14_0097	UK	UK	mp	mp	mp	mp	2014
MRA14_0102	UK	UK	mp	mp	mp	mp	2014
MRA14_0104	UK	UK	mp	mp	mp	mp	2014
MRA14_0106	UK	MR11_121	mp	0	2011	mp	2014
MRA14_0112	UK	UK	mp	mp	mp	mp	2014
MRA14_0113	UK	UK	mp	mp	mp	mp	2014
MRA14_0116	MR11_242	MR11_168	0	0	2011	mp	2014
MRA14_0122	UK	UK	mp	mp	mp	mp	2014
MRA14_0123	UK	UK	mp	mp	mp	mp	2014
MRA14_0126	UK	UK	mp	mp	mp	mp	2014
MRA14_0127	UK	UK	mp	mp	mp	mp	2014
MRA14_0130	UK	UK	mp	mp	mp	mp	2014
MRA14_0132	UK	UK	mp	mp	mp	mp	2014
MRA14_0133	UK	UK	mp	mp	mp	mp	2014
MRA14_0135	UK	UK	mp	mp	mp	mp	2014
MRA14_0136	UK	UK	mp	mp	mp	mp	2014
MRA14_0137	UK	MR11A_153	mp	1	2011	mp	2014
