Offspring ID,Loci typed,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
OtsAC17SFMK_0001,11,OtsAC13SFMK_4517,11,11,0, 1.79757848401269E+0001, 1.79757848401269E+0001,,OtsAC13SFMK_4083,11,11,0, 1.79004422030690E+0001, 1.79004422030690E+0001,,11,0, 4.12276830385584E+0001, 4.12276830385584E+0001,,
OtsAC17SFMK_0002,11,OtsAC12SFMK_8750,11,11,0, 1.76367721107756E+0001, 1.76367721107756E+0001,,OtsAC12SFMK_8713,11,11,0, 1.17738638026266E+0001, 1.17738638026266E+0001,,11,0, 3.60573125192027E+0001, 3.60573125192027E+0001,,
OtsAC17SFMK_0003,11,
OtsAC17SFMK_0004,11,OtsAC13SFMK_4021,11,11,0, 1.44283046730531E+0001, 1.44283046730531E+0001,,OtsAC13SFMK_4127,11,11,0, 1.79957861771030E+0001, 1.79957861771030E+0001,,11,0, 3.93555626557556E+0001, 3.93555626557556E+0001,,
OtsAC17SFMK_0005,11,OtsAC13SFMK_4586,11,11,0, 2.43425472116759E+0001, 2.43425472116759E+0001,,OtsAC13SFMK_4114,11,11,0, 1.72143163161091E+0001, 1.72143163161091E+0001,,11,0, 4.91814825139444E+0001, 4.91814825139444E+0001,,
OtsAC17SFMK_0006,11,
OtsAC17SFMK_0007,11,OtsAC12SFMK_8575,11,11,0, 1.97718772982069E+0001, 1.97718772982069E+0001,,OtsAC12SFMK_8574,11,11,0, 1.76582133568115E+0001, 1.76582133568115E+0001,,11,0, 4.50117845964608E+0001, 4.50117845964608E+0001,,
OtsAC17SFMK_0008,11,
OtsAC17SFMK_0009,11,OtsAC13SFMK_4017,11,11,0, 2.24794033819618E+0001, 2.24794033819618E+0001,,OtsAC13SFMK_4065,11,11,0, 1.98311239892788E+0001, 1.98311239892788E+0001,,11,0, 4.79156029573012E+0001, 4.79156029573012E+0001,,
OtsAC17SFMK_0010,11,OtsAC12SFMK_8622,11,11,0, 1.89944799158056E+0001, 1.89944799158056E+0001,,OtsAC12SFMK_8868,11,11,0, 1.83277738106318E+0001, 1.83277738106318E+0001,,11,0, 4.44404523822987E+0001, 4.44404523822987E+0001,,
OtsAC17SFMK_0011,11,
OtsAC17SFMK_0012,11,OtsAC13SFMK_4006,11,11,0, 1.32495427094887E+0001, 1.32495427094887E+0001,,OtsAC13SFMK_4129,11,11,0, 2.07624955894697E+0001, 2.07624955894697E+0001,,11,0, 3.98637928503940E+0001, 3.98637928503940E+0001,,
OtsAC17SFMK_0013,11,OtsAC12SFMK_8331,11,11,0, 1.75330703141778E+0001, 1.75330703141778E+0001,,OtsAC12SFMK_8804,11,11,0, 1.72430229996571E+0001, 1.72430229996571E+0001,,11,0, 4.17075651194343E+0001, 4.17075651194343E+0001,,
OtsAC17SFMK_0014,11,OtsAC12SFMK_8082,11,11,0, 2.03033858474428E+0001, 2.03033858474428E+0001,,OtsAC12SFMK_8708,11,11,0, 1.67210649280677E+0001, 1.67210649280677E+0001,,11,0, 4.43492704661232E+0001, 4.43492704661232E+0001,,
OtsAC17SFMK_0015,11,
OtsAC17SFMK_0016,11,
OtsAC17SFMK_0017,11,OtsAC13SFMK_4062,11,11,0, 1.87362079862015E+0001, 1.87362079862015E+0001,,OtsAC13SFMK_4114,11,11,0, 1.96361793149164E+0001, 1.96361793149164E+0001,,11,0, 4.53038591067173E+0001, 4.53038591067173E+0001,,
OtsAC17SFMK_0018,11,
OtsAC17SFMK_0019,11,OtsAC13SFMK_4062,11,11,0, 1.70396141715550E+0001, 1.70396141715550E+0001,,OtsAC13SFMK_4114,11,11,0, 1.63606873574294E+0001, 1.63606873574294E+0001,,11,0, 4.05780144090911E+0001, 4.05780144090911E+0001,,
