year	Locus	k	N	HObs	HExp	PIC	NE-1P	NE-2P	NE-PP	NE-I	NE-SI	HW	F(Null)
2015	Locus5	41	4056	0.941	0.940	0.937	0.215	0.121	0.025	0.007	0.282	**	-0.0008
2015	Locus6	57	4053	0.953	0.953	0.951	0.173	0.095	0.016	0.004	0.275	NS	-0.0005
2015	Locus7	67	4054	0.944	0.954	0.952	0.168	0.092	0.015	0.004	0.274	***	0.0053
2015	Locus8	25	4050	0.920	0.916	0.910	0.288	0.168	0.045	0.013	0.295	**	-0.0025
2015	Locus9	39	4062	0.927	0.944	0.941	0.203	0.113	0.022	0.006	0.279	***	0.0090
2015	Locus10	23	4061	0.881	0.893	0.883	0.356	0.216	0.073	0.021	0.309	NS	0.0065
2015	Locus11	21	4055	0.858	0.867	0.854	0.418	0.263	0.102	0.031	0.324	NS	0.0061
2016	Locus1	28	3371	0.918	0.918	0.912	0.285	0.166	0.045	0.013	0.294	NS	0.0001
2016	Locus2	67	3365	0.928	0.941	0.938	0.208	0.117	0.022	0.006	0.281	***	0.0058
2016	Locus3	37	3349	0.933	0.939	0.936	0.218	0.123	0.026	0.007	0.282	NS	0.0032
2016	Locus4	36	3363	0.908	0.920	0.915	0.275	0.160	0.042	0.012	0.293	***	0.0067
2016	Locus5	42	3363	0.940	0.941	0.937	0.212	0.119	0.024	0.007	0.281	NS	0.0004
2016	Locus6	54	3361	0.952	0.953	0.951	0.171	0.094	0.015	0.004	0.274	NS	0.0003
2016	Locus7	67	3364	0.953	0.954	0.952	0.168	0.092	0.015	0.004	0.274	NS	0.0004
2016	Locus8	23	3367	0.911	0.914	0.908	0.291	0.171	0.046	0.013	0.296	NS	0.0017
2016	Locus9	39	3370	0.928	0.945	0.942	0.200	0.111	0.022	0.006	0.279	NS	0.0090
2016	Locus10	23	3370	0.885	0.892	0.882	0.359	0.218	0.074	0.021	0.310	NS	0.0039
2016	Locus11	19	3368	0.860	0.862	0.848	0.429	0.272	0.108	0.033	0.327	NS	0.0019
2017	Locus1	28	3198	0.916	0.919	0.913	0.282	0.164	0.044	0.012	0.294	*	0.0018
2017	Locus2	64	3182	0.925	0.941	0.938	0.208	0.117	0.022	0.006	0.281	***	0.0081
2017	Locus3	37	3176	0.929	0.940	0.937	0.216	0.121	0.025	0.007	0.282	NS	0.0059
2017	Locus4	34	3186	0.908	0.920	0.914	0.278	0.161	0.042	0.012	0.293	***	0.0066
2017	Locus5	44	3190	0.942	0.940	0.937	0.213	0.120	0.024	0.007	0.282	NS	-0.0011
2017	Locus6	55	3173	0.950	0.953	0.951	0.172	0.095	0.016	0.004	0.275	*	0.0013
2017	Locus7	66	3185	0.949	0.956	0.954	0.163	0.089	0.014	0.004	0.273	NS	0.0035
2017	Locus8	23	3179	0.916	0.914	0.908	0.291	0.171	0.046	0.013	0.296	NS	-0.0010
2017	Locus9	39	3176	0.927	0.945	0.942	0.203	0.113	0.022	0.006	0.279	**	0.0091
2017	Locus10	22	3179	0.880	0.892	0.882	0.359	0.218	0.075	0.021	0.310	NS	0.0064
2017	Locus11	19	3191	0.865	0.864	0.851	0.424	0.268	0.106	0.032	0.326	NS	0.0000
2018	Locus1	26	3128	0.914	0.918	0.912	0.285	0.166	0.045	0.013	0.294	***	0.0020
2018	Locus2	65	3108	0.924	0.942	0.939	0.205	0.115	0.022	0.006	0.281	***	0.0089
2018	Locus3	36	3095	0.922	0.939	0.936	0.218	0.122	0.025	0.007	0.282	NS	0.0093
2018	Locus4	29	3106	0.914	0.921	0.915	0.275	0.159	0.042	0.012	0.293	***	0.0037
2018	Locus5	45	3121	0.938	0.940	0.937	0.215	0.121	0.025	0.007	0.282	NS	0.0006
2018	Locus6	56	3096	0.943	0.951	0.949	0.177	0.098	0.016	0.004	0.275	***	0.0039
2018	Locus7	66	2949	0.949	0.955	0.953	0.167	0.091	0.015	0.004	0.274	NS	0.0027
2018	Locus8	25	3105	0.912	0.915	0.909	0.290	0.170	0.046	0.013	0.296	*	0.0017
2018	Locus9	38	3100	0.933	0.944	0.941	0.204	0.113	0.022	0.006	0.279	***	0.0060
2018	Locus10	22	3105	0.878	0.895	0.885	0.351	0.213	0.071	0.020	0.308	NS	0.0097
2018	Locus11	21	2957	0.866	0.864	0.850	0.425	0.269	0.106	0.032	0.326	NS	-0.0007
2019	Locus1	24	2899	0.905	0.916	0.910	0.290	0.170	0.047	0.013	0.295	***	0.0057
2019	Locus2	60	2881	0.913	0.942	0.940	0.203	0.114	0.021	0.006	0.280	***	0.0155
2019	Locus3	36	2722	0.927	0.940	0.937	0.214	0.120	0.025	0.007	0.282	NS	0.0071
2019	Locus4	31	2864	0.918	0.921	0.916	0.274	0.159	0.041	0.011	0.292	***	0.0013
2019	Locus5	40	2893	0.929	0.941	0.938	0.211	0.118	0.024	0.006	0.281	NS	0.0065
2019	Locus6	53	2822	0.926	0.952	0.949	0.176	0.097	0.016	0.004	0.275	***	0.0132
2019	Locus7	63	2698	0.931	0.953	0.951	0.172	0.095	0.016	0.004	0.275	***	0.0119
2019	Locus8	25	2866	0.908	0.912	0.906	0.296	0.174	0.047	0.013	0.297	NS	0.0028
2019	Locus9	42	2845	0.921	0.943	0.940	0.208	0.116	0.023	0.006	0.280	***	0.0116
2019	Locus10	25	2878	0.893	0.898	0.889	0.344	0.207	0.068	0.019	0.306	NS	0.0026
2019	Locus11	21	2714	0.873	0.862	0.848	0.429	0.272	0.108	0.033	0.327	**	-0.0063
2020	Locus1	22	2866	0.898	0.916	0.909	0.292	0.171	0.048	0.013	0.296	**	0.0096
2020	Locus2	60	2847	0.911	0.943	0.940	0.201	0.113	0.021	0.006	0.280	***	0.0172
2020	Locus3	37	2701	0.936	0.940	0.937	0.214	0.120	0.025	0.007	0.282	*	0.0022
2020	Locus4	29	2824	0.916	0.921	0.916	0.273	0.158	0.041	0.011	0.292	**	0.0022
2020	Locus5	39	2858	0.931	0.942	0.939	0.208	0.117	0.023	0.006	0.281	NS	0.0056
2020	Locus6	51	2797	0.933	0.953	0.951	0.171	0.094	0.015	0.004	0.274	***	0.0103
2020	Locus7	64	2630	0.927	0.953	0.951	0.170	0.094	0.015	0.004	0.274	***	0.0145
2020	Locus8	25	2837	0.906	0.915	0.909	0.290	0.170	0.046	0.013	0.296	NS	0.0050
2020	Locus9	38	2821	0.929	0.944	0.941	0.203	0.113	0.022	0.006	0.279	NS	0.0081
2020	Locus10	24	2845	0.895	0.897	0.888	0.345	0.208	0.068	0.020	0.307	NS	0.0010
2020	Locus11	21	2645	0.883	0.866	0.852	0.421	0.265	0.104	0.031	0.325	***	-0.0100
