year	Locus	PIC	k	HObs	HExp	HW	DropRateEst	OtherErrorRateEst
2018	Ot311	0.949	56	0.943	0.951	***	0.0071	0.0045
2018	Ot409	0.953	66	0.949	0.955	NS	0.004	0.0034
2018	Ot211	0.909	25	0.912	0.915	*	0	0
2018	Ot208	0.941	38	0.933	0.944	***	0.0078	0
2018	Ot212	0.885	22	0.878	0.895	NS	0.0056	0.0066
2018	Ot515	0.85	21	0.866	0.864	NS	0.0015	0
2019	Ot201	0.91	24	0.905	0.916	***	0.005	0.0017
2019	Ot209	0.94	60	0.913	0.942	***	0.0152	0.012
2019	Ot249	0.937	36	0.927	0.94	NS	0.0083	0
2019	Ot253	0.916	31	0.918	0.921	***	0.0033	0.0036
2019	Ot215	0.938	40	0.929	0.941	NS	0.0067	0.0063
2019	Ot311	0.949	53	0.926	0.952	***	0.0168	0.0088
2019	Ot409	0.951	63	0.931	0.953	***	0.0094	0.0076
2019	Ot211	0.906	25	0.908	0.912	NS	0.002	0
2019	Ot208	0.94	42	0.921	0.943	***	0.0115	1e-4
2019	Ot212	0.889	25	0.893	0.898	NS	0.0021	0.0031
2019	Ot515	0.848	21	0.873	0.862	**	0.0015	0
2020	Ot201	0.909	22	0.898	0.916	**	0.0062	0.0016
2020	Ot209	0.94	60	0.911	0.943	***	0.0175	0.0036
2020	Ot249	0.937	37	0.936	0.94	*	0.0043	0.0037
2020	Ot253	0.916	29	0.916	0.921	**	0.0044	0.0036
2020	Ot215	0.939	39	0.931	0.942	NS	0.0027	0.0034
2020	Ot311	0.951	51	0.933	0.953	***	0.0136	0.0093
2020	Ot409	0.951	64	0.927	0.953	***	0.0107	0.0061
2020	Ot211	0.909	25	0.906	0.915	NS	0.0042	0
2020	Ot208	0.941	38	0.929	0.944	NS	0.0101	0
2020	Ot212	0.888	24	0.895	0.897	NS	0.0029	0.0013
2020	Ot515	0.852	21	0.883	0.866	***	7e-4	0.0064
