Well	correct_name
L12	OtsAC17MCKR_0222
M12	OtsAC17MCKR_0129
N12	OtsAC17MCKR_0223
O12	OtsAC17MCKR_0130
P12	OtsAC17MCKR_0224
A13	OtsAC16MCKR_0462
B13	OtsAC17MCKR_0037
C13	OtsAC16MCKR_0463
D13	OtsAC17MCKR_0038
E13	OtsAC16MCKR_0464
F13	OtsAC17MCKR_0039
G13	OtsAC16MCKR_0465
H13	OtsAC17MCKR_0040
I13	OtsAC16MCKR_0466
J13	OtsAC17MCKR_0041
K13	OtsAC16MCKR_0467
L13	OtsAC17MCKR_0042
M13	OtsAC16MCKR_0468
N13	OtsAC17MCKR_0043
O13	OtsAC16MCKR_0469
P13	OtsAC17MCKR_0044
A14	OtsAC17MCKR_0131
B14	OtsAC17MCKR_0225
C14	OtsAC17MCKR_0132
D14	OtsAC17MCKR_0226
E14	OtsAC17MCKR_0133
F14	OtsAC17MCKR_0227
G14	OtsAC17MCKR_0134
H14	OtsAC17MCKR_0228
I14	OtsAC17MCKR_0135
J14	OtsAC17MCKR_0229
K14	OtsAC17MCKR_0136
L14	OtsAC17MCKR_0230
M14	OtsAC17MCKR_0137
N14	OtsAC17MCKR_0231
O14	OtsAC17MCKR_0138
P14	OtsAC17MCKR_0232
A15	OtsAC16MCKR_0470
B15	OtsAC17MCKR_0045
C15	OtsAC16MCKR_0471
D15	OtsAC17MCKR_0046
E15	OtsAC16MCKR_0472
F15	OtsAC17MCKR_0047
G15	OtsAC16MCKR_0473
H15	OtsAC17MCKR_0048
I15	OtsAC16MCKR_0474
J15	OtsAC17MCKR_0049
K15	OtsAC16MCKR_0475
L15	OtsAC17MCKR_0050
M15	OtsCC16MCKR_1044
N15	OtsAC17MCKR_0051
O15	OtsCC16MCKR_1045
P15	OtsAC17MCKR_0052
A16	OtsAC17MCKR_0139
B16	OtsAC17MCKR_0233
C16	OtsAC17MCKR_0140
D16	OtsAC17MCKR_0234
E16	OtsAC17MCKR_0141
F16	OtsAC17MCKR_0235
G16	OtsAC17MCKR_0142
H16	OtsAC17MCKR_0236
I16	OtsAC17MCKR_0143
J16	OtsAC17MCKR_0237
K16	OtsAC17MCKR_0144
L16	OtsAC17MCKR_0238
M16	OtsAC17MCKR_0145
N16	OtsAC17MCKR_0239
O16	OtsAC17MCKR_0146
P16	OtsAC17MCKR_0240
A17	OtsCC16MCKR_1047
B17	OtsAC17MCKR_0053
C17	OtsCC16MCKR_1026
D17	OtsAC17MCKR_0054
E17	OtsCC16MCKR_1328
F17	OtsAC17MCKR_0055
G17	OtsCC16MCKR_1330
H17	OtsAC17MCKR_0056
I17	OtsCC16MCKR_1338
J17	OtsAC17MCKR_0057
K17	OtsCC16MCKR_1339
L17	OtsAC17MCKR_0058
M17	OtsCC16MCKR_1002
N17	OtsAC17MCKR_0059
O17	OtsCC16MCKR_1007
P17	OtsAC17MCKR_0060
A18	OtsAC17MCKR_0147
B18	OtsAC17MCKR_0241
C18	OtsAC17MCKR_0148
D18	OtsAC17MCKR_0242
E18	OtsAC17MCKR_0149
F18	OtsAC17MCKR_0243
G18	OtsAC17MCKR_0150
H18	OtsAC17MCKR_0244
I18	OtsAC17MCKR_0151
J18	OtsAC17MCKR_0245
K18	OtsAC17MCKR_0152
L18	OtsAC17MCKR_0246
M18	OtsAC17MCKR_0153
N18	OtsAC17MCKR_0247
O18	OtsAC17MCKR_0154
P18	OtsAC17MCKR_0248
A19	OtsCC16MCKR_1008
B19	OtsAC17MCKR_0061
C19	OtsCC16MCKR_1009
D19	OtsAC17MCKR_0062
E19	OtsCC16MCKR_1010
F19	OtsAC17MCKR_0063
G19	OtsCC16MCKR_1016
H19	OtsAC17MCKR_0064
I19	OtsCC16MCKR_1022
J19	OtsAC17MCKR_0065
K19	OtsCC16MCKR_1025
L19	OtsAC17MCKR_0066
M19	OtsCC16MCKR_1041
N19	OtsAC17MCKR_0067
O19	OtsCC16MCKR_1302
P19	OtsAC17MCKR_0068
A20	OtsAC17MCKR_0155
B20	OtsAC17MCKR_0249
C20	OtsAC17MCKR_0156
D20	OtsAC17MCKR_0250
E20	OtsAC17MCKR_0157
F20	OtsAC17MCKR_0251
G20	OtsAC17MCKR_0158
H20	OtsAC17MCKR_0252
I20	OtsAC17MCKR_0159
J20	OtsAC17MCKR_0253
K20	OtsAC17MCKR_0160
L20	OtsAC17MCKR_0254
M20	OtsAC17MCKR_0161
N20	OtsAC17MCKR_0255
O20	OtsAC17MCKR_0162
P20	OtsAC17MCKR_0256
A21	OtsCC16MCKR_1303
B21	OtsAC17MCKR_0069
C21	OtsCC16MCKR_1332
D21	OtsAC17MCKR_0070
E21	OtsCC16MCKR_1001
F21	OtsAC17MCKR_0071
G21	OtsCC16MCKR_1003
H21	OtsAC17MCKR_0072
I21	OtsCC16MCKR_1004
J21	OtsAC17MCKR_0073
K21	OtsCC16MCKR_1005
L21	OtsAC17MCKR_0074
M21	OtsCC16MCKR_1006
N21	OtsAC17MCKR_0075
O21	OtsCC16MCKR_1011
P21	OtsAC17MCKR_0076
A22	OtsAC17MCKR_0163
B22	OtsAC17MCKR_0257
C22	OtsAC17MCKR_0164
D22	OtsAC17MCKR_0258
E22	OtsAC17MCKR_0165
F22	OtsAC17MCKR_0259
G22	OtsAC17MCKR_0166
H22	OtsAC17MCKR_0260
I22	OtsAC17MCKR_0167
J22	OtsAC17MCKR_0261
K22	OtsAC17MCKR_0168
L22	OtsAC17MCKR_0262
M22	OtsAC17MCKR_0169
N22	OtsAC17MCKR_0263
O22	OtsAC17MCKR_0170
P22	OtsAC17MCKR_0264
A23	OtsCC16MCKR_1012
B23	OtsAC17MCKR_0077
C23	OtsCC16MCKR_1013
D23	OtsAC17MCKR_0078
E23	OtsCC16MCKR_1015
F23	OtsAC17MCKR_0079
G23	OtsCC16MCKR_1021
H23	OtsAC17MCKR_0080
I23	OtsCC16MCKR_1023
J23	OtsAC17MCKR_0081
K23	OtsCC16MCKR_1024
L23	OtsAC17MCKR_0082
M23	negative
N23	negative
O23	positive
P23	positive
A24	OtsAC17MCKR_0171
B24	OtsAC17MCKR_0265
C24	OtsAC17MCKR_0172
D24	OtsAC17MCKR_0266
E24	OtsAC17MCKR_0173
F24	OtsAC17MCKR_0267
G24	OtsAC17MCKR_0174
H24	OtsAC17MCKR_0268
I24	OtsAC17MCKR_0175
J24	OtsAC17MCKR_0269
K24	OtsAC17MCKR_0176
L24	OtsAC17MCKR_0270
M24	negative
N24	negative
O24	positive
P24	positive
