Sample.Name	sex	type	out.strat	jul_date	rkm	radio_tag	year	return.type	floy.t	length	rs	mates	mates.uk
MR12A_001	M	H	hatch	199	18.5	NA	2012	NA	NA	620	0	0	0
MR12A_002	M	H	hatch	199	18.5	NA	2012	NA	NA	700	0	0	0
MR12A_003	M	H	hatch	199	18.5	NA	2012	NA	NA	695	24	4	0
MR12A_004	M	H	hatch	199	18.5	NA	2012	NA	NA	860	8	1	8
MR12A_005	M	H	hatch	199	18.5	NA	2012	NA	NA	760	10	2	0
MR12A_006	F	H	hatch	199	18.5	NA	2012	NA	NA	830	5	2	0
MR12A_007	M	H	hatch	199	18.5	NA	2012	NA	NA	830	3	2	0
MR12A_008	M	H	hatch	199	18.5	NA	2012	NA	NA	740	7	2	0
MR12A_009	M	H	hatch	199	18.5	NA	2012	NA	NA	830	0	0	0
MR12A_010	M	H	hatch	199	18.5	NA	2012	NA	NA	710	2	1	0
MR12A_011	M	H	hatch	199	18.5	NA	2012	NA	NA	770	0	0	0
MR12A_012	M	H	hatch	199	18.5	NA	2012	NA	NA	750	1	1	0
MR12A_013	F	H	hatch	199	18.5	NA	2012	NA	NA	750	10	3	0
MR12A_014	M	H	hatch	199	18.5	NA	2012	NA	NA	730	0	0	0
MR12A_015	M	H	hatch	199	18.5	NA	2012	NA	NA	800	0	0	0
MR12A_016	F	H	hatch	199	18.5	NA	2012	NA	NA	740	0	0	0
MR12A_017	M	H	hatch	199	18.5	NA	2012	NA	NA	730	0	0	0
MR12A_018	M	H	hatch	199	18.5	NA	2012	NA	NA	790	0	0	0
MR12A_019	M	H	hatch	199	18.5	NA	2012	NA	NA	820	3	1	0
MR12A_020	M	H	hatch	199	18.5	NA	2012	NA	NA	0	0	0	0
MR12A_021	F	H	hatch	199	18.5	NA	2012	NA	NA	670	0	0	0
MR12A_022	M	H	hatch	199	18.5	NA	2012	NA	NA	560	2	2	0
MR12A_023	M	H	hatch	199	18.5	NA	2012	NA	NA	780	1	1	0
MR12A_024	M	H	hatch	199	18.5	NA	2012	NA	NA	770	1	1	1
MR12A_025	M	H	hatch	199	18.5	NA	2012	NA	NA	850	6	1	0
MR12A_026	F	H	hatch	199	18.5	NA	2012	NA	NA	770	12	3	1
MR12A_027	F	H	hatch	199	18.5	NA	2012	NA	NA	880	10	1	10
MR12A_028	F	H	hatch	199	18.5	NA	2012	NA	NA	760	21	2	0
MR12A_029	F	H	hatch	199	18.5	NA	2012	NA	NA	710	0	0	0
MR12A_030	F	H	hatch	199	18.5	NA	2012	NA	NA	760	11	3	0
MR12A_031	M	H	hatch	199	18.5	NA	2012	NA	NA	730	1	1	0
MR12A_032	M	H	hatch	199	18.5	NA	2012	NA	NA	820	0	0	0
MR12A_033	M	H	hatch	199	18.5	NA	2012	NA	NA	850	3	1	0
MR12A_034	M	H	hatch	199	18.5	NA	2012	NA	NA	800	5	1	0
MR12A_035	M	H	hatch	199	18.5	NA	2012	NA	NA	840	12	3	2
MR12A_036	M	H	hatch	199	18.5	NA	2012	NA	NA	760	0	0	0
MR12A_037	M	H	hatch	199	18.5	NA	2012	NA	NA	730	5	2	1
MR12A_038	F	H	hatch	199	18.5	NA	2012	NA	NA	850	0	0	0
MR12A_039	M	H	hatch	199	18.5	NA	2012	NA	NA	730	0	0	0
MR12A_040	M	H	hatch	199	18.5	NA	2012	NA	NA	870	23	2	0
MR12A_041	F	H	hatch	199	18.5	NA	2012	NA	NA	890	13	3	0
MR12A_042	F	H	hatch	199	18.5	NA	2012	NA	NA	810	20	8	2
MR12A_043	M	H	hatch	199	18.5	NA	2012	NA	NA	740	14	1	0
MR12A_044	F	H	hatch	199	18.5	NA	2012	NA	NA	800	14	3	0
