Sample.Name	sex	type	out.strat	jul_date	rkm	radio_tag	year	return.type	floy.t	length	rs	mates	mates.uk
MR12A_045	F	H	hatch	199	18.5	NA	2012	NA	NA	820	4	3	1
MR12A_046	M	H	hatch	199	18.5	NA	2012	NA	NA	830	15	3	0
MR12A_047	M	H	hatch	199	18.5	NA	2012	NA	NA	770	4	2	0
MR12A_048	F	H	hatch	199	18.5	NA	2012	NA	NA	820	0	0	0
MR12A_049	F	H	hatch	199	18.5	NA	2012	NA	NA	850	14	4	0
MR12A_050	M	H	hatch	199	18.5	NA	2012	NA	NA	760	0	0	0
MR12A_051	F	H	hatch	199	18.5	NA	2012	NA	NA	780	2	1	0
MR12A_052	F	H	hatch	199	18.5	NA	2012	NA	NA	810	0	0	0
MR12A_053	F	H	hatch	199	18.5	NA	2012	NA	NA	850	56	2	0
MR12A_054	M	H	hatch	199	18.5	NA	2012	NA	NA	790	6	1	0
MR12A_055	M	H	hatch	199	18.5	NA	2012	NA	NA	850	1	1	0
MR12A_056	F	H	hatch	199	18.5	NA	2012	NA	NA	820	16	3	0
MR12A_057	F	H	hatch	199	18.5	NA	2012	NA	NA	850	11	2	0
MR12A_058	F	H	hatch	199	18.5	NA	2012	NA	NA	740	0	0	0
MR12A_059	F	H	hatch	199	18.5	NA	2012	NA	NA	830	0	0	0
MR12A_060	F	H	hatch	199	18.5	NA	2012	NA	NA	850	19	2	0
MR12A_061	F	H	hatch	199	18.5	NA	2012	NA	NA	760	12	4	3
MR12A_062	F	H	hatch	199	18.5	NA	2012	NA	NA	860	0	0	0
MR12A_063	F	H	hatch	199	18.5	NA	2012	NA	NA	770	0	0	0
MR12A_064	F	H	hatch	199	18.5	NA	2012	NA	NA	870	0	0	0
MR12A_065	F	H	hatch	199	18.5	NA	2012	NA	NA	790	16	4	0
MR12A_066	F	H	hatch	199	18.5	NA	2012	NA	NA	780	0	0	0
MR12A_067	F	H	hatch	199	18.5	NA	2012	NA	NA	810	14	4	1
MR12A_068	M	H	hatch	199	18.5	NA	2012	NA	NA	760	0	0	0
MR12A_069	F	H	hatch	199	18.5	NA	2012	NA	NA	770	0	0	0
MR12A_070	F	H	hatch	199	18.5	NA	2012	NA	NA	850	7	3	1
MR12A_071	F	H	hatch	199	18.5	NA	2012	NA	NA	850	0	0	0
MR12A_072	F	H	hatch	199	18.5	NA	2012	NA	NA	800	4	2	0
MR12A_073	F	H	hatch	200	18.5	NA	2012	NA	NA	760	0	0	0
MR12A_074	F	H	hatch	200	18.5	NA	2012	NA	NA	810	21	2	1
MR12A_075	F	H	hatch	200	18.5	NA	2012	NA	NA	840	16	5	0
MR12A_076	F	H	hatch	200	18.5	NA	2012	NA	NA	870	2	2	0
MR12A_077	F	H	hatch	200	18.5	NA	2012	NA	NA	820	13	7	0
MR12A_078	F	H	hatch	200	18.5	NA	2012	NA	NA	760	5	3	0
MR12A_079	F	H	hatch	200	18.5	NA	2012	NA	NA	890	35	7	0
MR12A_080	F	H	hatch	200	18.5	NA	2012	NA	NA	740	0	0	0
MR12A_081	F	H	hatch	200	18.5	NA	2012	NA	NA	860	0	0	0
MR12A_082	F	H	hatch	200	18.5	NA	2012	NA	NA	850	24	4	6
MR12A_083	M	H	hatch	200	18.5	NA	2012	NA	NA	760	0	0	0
MR12A_084	M	H	hatch	200	18.5	NA	2012	NA	NA	690	0	0	0
MR12A_085	F	H	hatch	200	18.5	NA	2012	NA	NA	850	43	3	0
MR12A_086	M	H	hatch	200	18.5	NA	2012	NA	NA	720	7	2	0
MR12A_087	M	H	hatch	200	18.5	NA	2012	NA	NA	720	6	3	2
MR12A_088	F	H	hatch	200	18.5	NA	2012	NA	NA	850	0	0	0
MR12A_089	M	H	hatch	200	18.5	NA	2012	NA	NA	850	4	2	0
MR12A_090	F	H	hatch	200	18.5	NA	2012	NA	NA	750	3	2	0
MR12A_091	F	H	hatch	200	18.5	NA	2012	NA	NA	770	10	2	0
MR12A_092	F	H	hatch	200	18.5	NA	2012	NA	NA	770	0	0	0
MR12A_093	F	H	hatch	200	18.5	NA	2012	NA	NA	670	11	1	0
MR12A_094	M	H	hatch	200	18.5	NA	2012	NA	NA	650	0	0	0
MR12A_095	M	H	hatch	200	18.5	NA	2012	NA	NA	790	0	0	0
MR12A_096	F	H	hatch	200	18.5	NA	2012	NA	NA	780	0	0	0
MR12A_097	M	H	hatch	200	18.5	NA	2012	NA	NA	870	5	3	0
MR12A_098	M	H	hatch	200	18.5	NA	2012	NA	NA	800	3	1	0
MR12A_099	F	H	hatch	200	18.5	NA	2012	NA	NA	770	0	0	0
MR12A_100	F	H	hatch	200	18.5	NA	2012	NA	NA	730	0	0	0
MR12A_101	F	H	hatch	200	18.5	NA	2012	NA	NA	750	23	5	3
MR12A_102	M	H	hatch	200	18.5	NA	2012	NA	NA	690	0	0	0
MR12A_103	F	H	hatch	200	18.5	NA	2012	NA	NA	860	14	5	0
MR12A_104	F	H	hatch	200	18.5	NA	2012	NA	NA	780	3	1	0
MR12A_105	M	H	hatch	200	18.5	NA	2012	NA	NA	810	1	1	1
MR12A_106	M	H	hatch	200	18.5	NA	2012	NA	NA	700	0	0	0
MR12A_107	M	H	hatch	200	18.5	NA	2012	NA	NA	770	0	0	0
MR12A_108	F	H	hatch	200	18.5	NA	2012	NA	NA	670	0	0	0
MR12A_109	M	H	hatch	200	18.5	NA	2012	NA	NA	750	0	0	0
MR12A_110	F	H	hatch	200	18.5	NA	2012	NA	NA	870	30	2	3
MR12A_111	F	H	hatch	200	18.5	NA	2012	NA	NA	830	0	0	0
MR12A_112	F	H	hatch	200	18.5	NA	2012	NA	NA	790	10	3	0
MR12A_113	M	H	hatch	200	18.5	NA	2012	NA	NA	780	4	1	0
MR12A_114	M	H	hatch	200	18.5	NA	2012	NA	NA	710	0	0	0
MR12A_115	F	H	hatch	200	18.5	NA	2012	NA	NA	760	3	3	0
MR12A_116	F	H	hatch	200	18.5	NA	2012	NA	NA	860	0	0	0
MR12A_117	M	H	hatch	200	18.5	NA	2012	NA	NA	870	0	0	0
MR12A_118	M	H	hatch	200	18.5	NA	2012	NA	NA	790	12	2	0
MR12A_119	M	H	hatch	200	18.5	NA	2012	NA	NA	690	0	0	0
MR12A_120	F	H	hatch	200	18.5	NA	2012	NA	NA	750	1	1	1
MR12A_121	F	H	hatch	200	18.5	NA	2012	NA	NA	730	0	0	0
MR12A_122	F	H	hatch	200	18.5	NA	2012	NA	NA	880	35	9	2
MR12A_123	M	H	hatch	200	18.5	NA	2012	NA	NA	760	4	1	0
MR12A_124	M	H	hatch	200	18.5	NA	2012	NA	NA	730	11	1	11
MR12A_125	M	H	hatch	200	18.5	NA	2012	NA	NA	740	0	0	0
MR12A_126	F	H	hatch	200	18.5	NA	2012	NA	NA	820	5	2	0
MR12A_127	M	H	hatch	200	18.5	NA	2012	NA	NA	760	2	1	0
MR12A_128	F	H	hatch	200	18.5	NA	2012	NA	NA	880	0	0	0
MR12A_129	F	H	hatch	200	18.5	NA	2012	NA	NA	720	0	0	0
MR12A_130	M	H	hatch	200	18.5	NA	2012	NA	NA	770	20	3	0
MR12A_131	F	H	hatch	200	18.5	NA	2012	NA	NA	730	0	0	0
MR12A_132	F	H	hatch	200	18.5	NA	2012	NA	NA	750	0	0	0
MR12A_133	F	H	hatch	200	18.5	NA	2012	NA	NA	800	15	1	0
MR12A_134	M	H	hatch	200	18.5	NA	2012	NA	NA	790	0	0	0
MR12A_135	F	H	hatch	200	18.5	NA	2012	NA	NA	690	9	2	0
MR12A_136	M	H	hatch	200	18.5	NA	2012	NA	NA	670	0	0	0
MR12A_137	M	H	hatch	200	18.5	NA	2012	NA	NA	880	0	0	0
MR12A_138	M	H	hatch	200	18.5	NA	2012	NA	NA	910	0	0	0
MR12A_139	M	H	hatch	200	18.5	NA	2012	NA	NA	830	2	1	2
MR12A_140	F	H	hatch	200	18.5	NA	2012	NA	NA	670	0	0	0
MR12A_141	M	H	hatch	200	18.5	NA	2012	NA	NA	780	4	1	4
MR12A_142	F	H	hatch	200	18.5	NA	2012	NA	NA	790	9	1	0
MR12A_143	M	H	hatch	200	18.5	NA	2012	NA	NA	780	1	1	0
MR12A_144	M	H	hatch	200	18.5	NA	2012	NA	NA	830	0	0	0
MR12A_145	M	H	hatch	200	18.5	NA	2012	NA	NA	790	16	2	0
MR12A_146	M	H	hatch	200	18.5	NA	2012	NA	NA	710	0	0	0
MR12A_147	M	H	hatch	200	18.5	NA	2012	NA	NA	710	8	3	0
MR12A_148	M	H	hatch	200	18.5	NA	2012	NA	NA	710	2	2	1
MR12A_149	F	H	hatch	200	18.5	NA	2012	NA	NA	860	0	0	0
MR12A_150	F	H	hatch	200	18.5	NA	2012	NA	NA	750	0	0	0
MR12A_151	M	H	hatch	200	18.5	NA	2012	NA	NA	700	0	0	0
MR12A_152	M	H	hatch	200	18.5	NA	2012	NA	NA	730	0	0	0
MR12A_153	M	H	hatch	200	18.5	NA	2012	NA	NA	780	0	0	0
MR12A_154	F	H	hatch	200	18.5	NA	2012	NA	NA	830	0	0	0
MR12A_155	F	H	hatch	200	18.5	NA	2012	NA	NA	850	19	2	2
MR12A_156	M	H	hatch	200	18.5	NA	2012	NA	NA	800	0	0	0
MR12A_157	M	H	hatch	200	18.5	NA	2012	NA	NA	790	7	1	0
MR12A_158	M	H	hatch	200	18.5	NA	2012	NA	NA	750	0	0	0
MR12A_159	M	H	hatch	200	18.5	NA	2012	NA	NA	740	0	0	0
MR12A_160	M	H	hatch	200	18.5	NA	2012	NA	NA	790	0	0	0
MR12A_161	M	H	hatch	200	18.5	NA	2012	NA	NA	770	19	2	0
MR12A_162	F	H	hatch	200	18.5	NA	2012	NA	NA	830	18	5	3
MR12A_163	F	H	hatch	200	18.5	NA	2012	NA	NA	760	0	0	0
MR12A_164	F	H	hatch	200	18.5	NA	2012	NA	NA	810	0	0	0
MR12A_165	M	H	hatch	200	18.5	NA	2012	NA	NA	850	0	0	0
MR12A_166	M	H	hatch	200	18.5	NA	2012	NA	NA	790	0	0	0
MR12A_167	M	H	hatch	200	18.5	NA	2012	NA	NA	810	11	1	0
MR12A_168	F	H	hatch	200	18.5	NA	2012	NA	NA	860	0	0	0
MR12A_169	M	H	hatch	200	18.5	NA	2012	NA	NA	740	6	2	1
MR12A_170	F	H	hatch	200	18.5	NA	2012	NA	NA	780	6	3	0
MR12A_171	M	H	hatch	200	18.5	NA	2012	NA	NA	730	12	4	0
MR12A_172	F	H	hatch	200	18.5	NA	2012	NA	NA	810	4	2	1
MR12A_173	F	H	hatch	200	18.5	NA	2012	NA	NA	780	14	4	0
MR12A_174	F	H	hatch	200	18.5	NA	2012	NA	NA	750	4	1	0
MR12A_175	M	H	hatch	200	18.5	NA	2012	NA	NA	850	3	2	0
MR12A_176	M	H	hatch	200	18.5	NA	2012	NA	NA	800	1	1	0
MR12A_177	M	H	hatch	200	18.5	NA	2012	NA	NA	730	2	1	0
MR12A_178	M	H	hatch	200	18.5	NA	2012	NA	NA	670	7	5	1
MR12A_179	M	H	hatch	200	18.5	NA	2012	NA	NA	700	0	0	0
MR12A_180	M	H	hatch	200	18.5	NA	2012	NA	NA	790	0	0	0
MR12A_181	M	H	hatch	200	18.5	NA	2012	NA	NA	700	2	2	0
MR12A_182	M	H	hatch	200	18.5	NA	2012	NA	NA	700	0	0	0
MR12A_183	M	H	hatch	200	18.5	NA	2012	NA	NA	610	2	1	0
MR12A_184	M	H	hatch	200	18.5	NA	2012	NA	NA	780	15	3	0
MR12A_185	M	H	hatch	200	18.5	NA	2012	NA	NA	670	1	1	0
MR12A_186	F	H	hatch	200	18.5	NA	2012	NA	NA	850	18	3	0
MR12A_187	F	H	hatch	200	18.5	NA	2012	NA	NA	760	6	1	0
MR12A_188	F	H	hatch	200	18.5	NA	2012	NA	NA	880	0	0	0
MR12A_189	F	H	hatch	200	18.5	NA	2012	NA	NA	810	0	0	0
MR12A_190	M	H	hatch	200	18.5	NA	2012	NA	NA	770	0	0	0
MR12A_191	F	H	hatch	207	18.5	NA	2012	NA	NA	750	7	2	0
MR12A_192	F	H	hatch	207	18.5	NA	2012	NA	NA	800	4	1	0
MR12A_193	F	H	hatch	207	18.5	NA	2012	NA	NA	840	31	3	0
MR12A_194	M	H	hatch	207	18.5	NA	2012	NA	NA	730	0	0	0
MR12A_195	F	H	hatch	207	18.5	NA	2012	NA	NA	820	1	1	1
MR12A_196	M	H	hatch	207	18.5	NA	2012	NA	NA	810	4	2	0
MR12A_197	M	H	hatch	207	18.5	NA	2012	NA	NA	690	0	0	0
MR12A_198	F	H	hatch	207	18.5	NA	2012	NA	NA	870	0	0	0
MR12A_199	F	H	hatch	207	18.5	NA	2012	NA	NA	840	4	2	0
MR12A_200	F	H	hatch	207	18.5	NA	2012	NA	NA	680	0	0	0
MR12A_201	F	H	hatch	207	18.5	NA	2012	NA	NA	760	2	1	0
MR12A_202	F	H	hatch	207	18.5	NA	2012	NA	NA	820	3	2	0
MR12A_203	M	H	hatch	207	18.5	NA	2012	NA	NA	680	0	0	0
MR12A_204	M	H	hatch	207	18.5	NA	2012	NA	NA	850	0	0	0
MR12A_205	M	H	hatch	207	18.5	NA	2012	NA	NA	810	0	0	0
MR12A_206	F	H	hatch	207	18.5	NA	2012	NA	NA	760	1	1	0
MR12A_207	M	H	hatch	207	18.5	NA	2012	NA	NA	180	0	0	0
MR12A_208	M	H	hatch	207	18.5	NA	2012	NA	NA	790	0	0	0
MR12A_209	F	H	hatch	207	18.5	NA	2012	NA	NA	850	8	2	0
MR12A_210	F	H	hatch	207	18.5	NA	2012	NA	NA	860	19	3	0
MR12A_211	F	H	hatch	207	18.5	NA	2012	NA	NA	870	4	2	0
MR12A_212	M	H	hatch	207	18.5	NA	2012	NA	NA	730	0	0	0
MR12A_213	F	H	hatch	207	18.5	NA	2012	NA	NA	880	8	4	2
MR12A_214	F	H	hatch	207	18.5	NA	2012	NA	NA	850	1	1	0
MR12A_215	M	H	hatch	207	18.5	NA	2012	NA	NA	660	5	1	0
MR12A_216	M	H	hatch	207	18.5	NA	2012	NA	NA	780	0	0	0
MR12A_217	M	H	hatch	207	18.5	NA	2012	NA	NA	780	0	0	0
MR12A_218	M	H	hatch	207	18.5	NA	2012	NA	NA	830	1	1	1
MR12A_219	M	H	hatch	207	18.5	NA	2012	NA	NA	810	0	0	0
MR12A_220	M	H	hatch	207	18.5	NA	2012	NA	NA	660	7	1	0
MR12A_221	F	H	hatch	207	18.5	NA	2012	NA	NA	750	0	0	0
MR12A_222	F	H	hatch	207	18.5	NA	2012	NA	NA	800	1	1	0
MR12A_223	M	H	hatch	207	18.5	NA	2012	NA	NA	780	0	0	0
MR12A_224	M	H	hatch	207	18.5	NA	2012	NA	NA	790	0	0	0
MR12A_225	F	H	hatch	207	18.5	NA	2012	NA	NA	820	3	1	0
MR12A_226	M	H	hatch	207	18.5	NA	2012	NA	NA	840	14	1	0
MR12A_227	M	H	hatch	207	18.5	NA	2012	NA	NA	640	2	2	0
MR12A_228	M	H	hatch	207	18.5	NA	2012	NA	NA	650	1	1	0
MR12A_229	M	H	hatch	207	18.5	NA	2012	NA	NA	550	4	1	0
MR12A_230	F	H	hatch	207	18.5	NA	2012	NA	NA	690	0	0	0
MR12A_231	F	H	hatch	207	18.5	NA	2012	NA	NA	840	0	0	0
MR12A_232	M	H	hatch	207	18.5	NA	2012	NA	NA	800	0	0	0
MR12A_233	M	H	hatch	207	18.5	NA	2012	NA	NA	800	5	2	1
MR12A_234	M	H	hatch	207	18.5	NA	2012	NA	NA	710	0	0	0
MR12A_235	M	H	hatch	207	18.5	NA	2012	NA	NA	730	0	0	0
MR12A_236	M	H	hatch	207	18.5	NA	2012	NA	NA	810	0	0	0
MR12A_237	M	H	hatch	207	18.5	NA	2012	NA	NA	750	0	0	0
MR12A_238	M	H	hatch	207	18.5	NA	2012	NA	NA	800	8	1	0
MR12A_239	F	H	hatch	207	18.5	NA	2012	NA	NA	810	7	2	0
MR12A_240	F	H	hatch	207	18.5	NA	2012	NA	NA	850	12	3	0
MR12A_241	M	H	hatch	207	18.5	NA	2012	NA	NA	810	5	2	0
MR12A_242	M	H	hatch	207	18.5	NA	2012	NA	NA	680	8	2	0
MR12A_243	M	H	hatch	207	18.5	NA	2012	NA	NA	770	0	0	0
MR12A_244	F	H	hatch	207	18.5	NA	2012	NA	NA	830	2	2	0
MR12A_245	M	H	hatch	207	18.5	NA	2012	NA	NA	540	2	1	0
MR12A_246	F	H	hatch	207	18.5	NA	2012	NA	NA	760	0	0	0
MR12A_247	F	H	hatch	207	18.5	NA	2012	NA	NA	830	0	0	0
MR12A_248	F	H	hatch	207	18.5	NA	2012	NA	NA	915	27	2	0
MR12A_249	F	H	hatch	207	18.5	NA	2012	NA	NA	720	0	0	0
MR12A_250	F	H	hatch	207	18.5	NA	2012	NA	NA	830	22	5	2
MR12A_251	M	H	hatch	207	18.5	NA	2012	NA	NA	750	2	1	0
MR12A_252	M	H	hatch	207	18.5	NA	2012	NA	NA	760	0	0	0
MR12A_253	M	H	hatch	207	18.5	NA	2012	NA	NA	700	0	0	0
MR12A_254	M	H	hatch	207	18.5	NA	2012	NA	NA	850	15	4	1
MR12A_255	F	H	hatch	207	18.5	NA	2012	NA	NA	810	22	4	3
MR12A_256	F	H	hatch	207	18.5	NA	2012	NA	NA	740	0	0	0
MR12A_257	M	H	hatch	207	18.5	NA	2012	NA	NA	650	0	0	0
MR12A_258	M	H	hatch	207	18.5	NA	2012	NA	NA	690	0	0	0
MR12A_259	M	H	hatch	207	18.5	NA	2012	NA	NA	650	3	1	0
MR12A_260	M	H	hatch	207	18.5	NA	2012	NA	NA	840	6	1	6
MR12A_261	M	H	hatch	207	18.5	NA	2012	NA	NA	710	2	1	0
MR12A_262	M	H	hatch	207	18.5	NA	2012	NA	NA	640	5	2	0
MR12A_263	M	H	hatch	235	18.5	NA	2012	NA	NA	760	0	0	0
MR12A_264	F	H	hatch	235	18.5	NA	2012	NA	NA	815	3	1	0
MR12A_265	M	H	hatch	235	18.5	NA	2012	NA	NA	790	5	2	0
MR12A_266	M	H	hatch	235	18.5	NA	2012	NA	NA	750	0	0	0
MR12A_267	M	H	hatch	235	18.5	NA	2012	NA	NA	780	0	0	0
MR12A_268	M	H	hatch	235	18.5	NA	2012	NA	NA	860	0	0	0
MR12A_269	F	H	hatch	235	18.5	NA	2012	NA	NA	650	0	0	0
MR12A_270	F	H	hatch	235	18.5	NA	2012	NA	NA	730	0	0	0
MR12A_271	M	H	hatch	235	18.5	NA	2012	NA	NA	720	0	0	0
MR12A_272	M	H	hatch	235	18.5	NA	2012	NA	NA	780	3	2	0
MR12A_273	M	H	hatch	235	18.5	NA	2012	NA	NA	720	0	0	0
MR12A_274	F	H	hatch	235	18.5	NA	2012	NA	NA	790	0	0	0
MR12A_275	F	H	hatch	235	18.5	NA	2012	NA	NA	770	15	4	0
MR12A_276	F	H	hatch	235	18.5	NA	2012	NA	NA	875	14	4	2
MR12A_277	M	H	hatch	235	18.5	NA	2012	NA	NA	830	2	2	0
MR12A_278	M	H	hatch	235	18.5	NA	2012	NA	NA	820	0	0	0
MR12A_279	F	H	hatch	235	18.5	NA	2012	NA	NA	750	0	0	0
MR12A_280	F	H	hatch	235	18.5	NA	2012	NA	NA	765	21	2	0
MR12A_281	F	H	hatch	235	18.5	NA	2012	NA	NA	740	0	0	0
MR12A_282	M	H	hatch	235	18.5	NA	2012	NA	NA	880	0	0	0
MR12A_283	M	H	hatch	235	18.5	NA	2012	NA	NA	690	0	0	0
MR12A_284	F	H	hatch	235	18.5	NA	2012	NA	NA	710	0	0	0
MR12A_285	M	H	hatch	235	18.5	NA	2012	NA	NA	745	0	0	0
MR12A_286	F	H	hatch	235	18.5	NA	2012	NA	NA	810	0	0	0
MR12A_287	M	H	hatch	235	18.5	NA	2012	NA	NA	600	0	0	0
MR12A_288	F	H	hatch	235	18.5	NA	2012	NA	NA	795	16	4	0
MR12A_289	F	H	hatch	235	18.5	NA	2012	NA	NA	730	17	1	0
MR12A_290	F	H	hatch	235	18.5	NA	2012	NA	NA	825	0	0	0
MR12A_291	M	H	hatch	235	18.5	NA	2012	NA	NA	700	0	0	0
MR12A_292	M	H	hatch	235	18.5	NA	2012	NA	NA	930	0	0	0
MR12A_293	M	H	hatch	235	18.5	NA	2012	NA	NA	720	0	0	0
MR12A_294	F	H	hatch	235	18.5	NA	2012	NA	NA	755	0	0	0
MR12A_295	F	H	hatch	235	18.5	NA	2012	NA	NA	795	11	3	0
MR12A_296	M	H	hatch	235	18.5	NA	2012	NA	NA	670	0	0	0
MR12A_297	F	H	hatch	235	18.5	NA	2012	NA	NA	795	0	0	0
MR12A_298	F	H	hatch	235	18.5	NA	2012	NA	NA	805	0	0	0
MR12A_299	M	H	hatch	235	18.5	NA	2012	NA	NA	665	0	0	0
MR12A_300	M	H	hatch	235	18.5	NA	2012	NA	NA	805	9	1	0
MR12A_301	M	H	hatch	235	18.5	NA	2012	NA	NA	695	0	0	0
MR12A_302	F	H	hatch	235	18.5	NA	2012	NA	NA	720	0	0	0
MR12A_303	M	H	hatch	235	18.5	NA	2012	NA	NA	830	29	4	1
MR12A_304	F	H	hatch	235	18.5	NA	2012	NA	NA	745	0	0	0
MR12A_305	F	H	hatch	235	18.5	NA	2012	NA	NA	635	0	0	0
MR12A_306	M	H	hatch	235	18.5	NA	2012	NA	NA	550	0	0	0
MR12A_307	M	H	hatch	235	18.5	NA	2012	NA	NA	740	0	0	0
MR12A_308	M	H	hatch	235	18.5	NA	2012	NA	NA	655	6	2	0
MR12A_309	M	H	hatch	235	18.5	NA	2012	NA	NA	705	1	1	0
MR12A_310	M	H	hatch	235	18.5	NA	2012	NA	NA	730	0	0	0
MR12A_311	F	H	hatch	235	18.5	NA	2012	NA	NA	515	0	0	0
MR12A_312	M	H	hatch	235	18.5	NA	2012	NA	NA	695	0	0	0
MR12A_313	F	H	hatch	235	18.5	NA	2012	NA	NA	755	0	0	0
MR12A_314	F	H	hatch	235	18.5	NA	2012	NA	NA	830	12	2	2
MR12A_315	M	H	hatch	235	18.5	NA	2012	NA	NA	705	1	1	0
MR12A_316	F	H	hatch	235	18.5	NA	2012	NA	NA	645	0	0	0
MR12A_317	M	H	hatch	235	18.5	NA	2012	NA	NA	800	2	2	0
MR12A_318	M	H	hatch	235	18.5	NA	2012	NA	NA	780	4	1	0
MR12A_319	M	H	hatch	235	18.5	NA	2012	NA	NA	845	21	1	21
MR12A_320	F	H	hatch	235	18.5	NA	2012	NA	NA	875	40	3	3
MR12A_321	M	H	hatch	235	18.5	NA	2012	NA	NA	855	3	1	3
MR12A_322	M	H	hatch	235	18.5	NA	2012	NA	NA	770	3	1	0
MR12A_323	M	H	hatch	235	18.5	NA	2012	NA	NA	720	1	1	0
MR12A_324	M	H	hatch	235	18.5	NA	2012	NA	NA	610	0	0	0
MR12A_325	M	H	hatch	235	18.5	NA	2012	NA	NA	710	1	1	0
MR12A_326	M	H	hatch	235	18.5	NA	2012	NA	NA	785	1	1	0
MR12A_327	M	H	hatch	235	18.5	NA	2012	NA	NA	740	0	0	0
MR12A_328	F	H	hatch	235	18.5	NA	2012	NA	NA	685	9	3	1
MR12A_329	M	H	hatch	235	18.5	NA	2012	NA	NA	445	0	0	0
MR12A_330	F	H	hatch	235	18.5	NA	2012	NA	NA	890	15	4	0
MR12A_331	F	H	hatch	269	18.5	NA	2012	NA	NA	780	8	4	0
MR12A_332	F	H	hatch	269	18.5	NA	2012	NA	NA	725	4	2	0
MR12A_333	F	H	hatch	269	18.5	NA	2012	NA	NA	730	0	0	0
MR12A_334	F	H	hatch	269	18.5	NA	2012	NA	NA	730	0	0	0
MR12A_335	F	H	hatch	269	18.5	NA	2012	NA	NA	840	7	4	0
MR12A_336	F	H	hatch	269	18.5	NA	2012	NA	NA	755	6	2	1
MR12A_337	F	H	hatch	269	18.5	NA	2012	NA	NA	815	0	0	0
MR12A_338	F	H	hatch	269	18.5	NA	2012	NA	NA	680	1	1	1
