Offspring ID,Loci typed,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
OtsAC14SFMK_0001,11,OtsAC09SFMK_0437,11,11,1, 1.00604815152145E+0001, 5.70986409453736E+0000,*,OtsAC11SFMK_1129,11,11,4,-3.35685607406279E+0000, 0.00000000000000E+0000,,11,5, 7.63402081180688E+0000, 3.52287379813090E+0000,*,
OtsAC14SFMK_0001,11,OtsAC09SFMK_0437,11,11,1, 1.00604815152145E+0001, 5.70986409453736E+0000,*,OtsAC08SFMK_0434,11,11,3, 1.47221117451707E+0000, 0.00000000000000E+0000,,11,6, 4.11114701367598E+0000, 0.00000000000000E+0000,,
OtsAC14SFMK_0001,11,OtsAC09SFMK_01327,11,11,5,-7.58028092644804E+0000, 0.00000000000000E+0000,,OtsAC08SFMK_0434,11,11,3, 1.47221117451707E+0000, 0.00000000000000E+0000,,11,5, 3.11291834030798E+0000, 0.00000000000000E+0000,,
OtsAC14SFMK_0001,11,OtsAC09SFMK_0437,11,11,1, 1.00604815152145E+0001, 5.70986409453736E+0000,*,OtsAC11SFMK_1113,11,11,4,-2.09707206061719E+0000, 0.00000000000000E+0000,,11,6, 3.02289984799618E+0000, 0.00000000000000E+0000,,
OtsAC14SFMK_0001,11,OtsAC09SFMK_0072,11,11,2, 4.35061742067719E+0000, 0.00000000000000E+0000,,OtsAC08SFMK_0434,11,11,3, 1.47221117451707E+0000, 0.00000000000000E+0000,,11,6, 2.05702470643761E+0000, 0.00000000000000E+0000,,
OtsAC14SFMK_0001,11,OtsAC09SFMK_0072,11,11,2, 4.35061742067719E+0000, 0.00000000000000E+0000,,OtsAC08SFMK_0014,11,11,4,-1.98824848713320E+0000, 0.00000000000000E+0000,,11,6, 2.03762558030589E+0000, 0.00000000000000E+0000,,
OtsAC14SFMK_0001,11,OtsAC09SFMK_0437,11,11,1, 1.00604815152145E+0001, 5.70986409453736E+0000,*,OtsAC11SFMK_1244,11,11,6,-1.04398296802092E+0001, 0.00000000000000E+0000,,11,6, 1.86384991892798E+0000, 0.00000000000000E+0000,,
OtsAC14SFMK_0001,11,OtsAC09SFMK_0437,11,11,1, 1.00604815152145E+0001, 5.70986409453736E+0000,*,OtsAC09SFMK_01158,11,11,4,-5.37600268076186E+0000, 0.00000000000000E+0000,,11,6, 1.80028280107925E+0000, 0.00000000000000E+0000,,
OtsAC14SFMK_0001,11,OtsAC09SFMK_0437,11,11,1, 1.00604815152145E+0001, 5.70986409453736E+0000,*,OtsAC10SFMK_0170,11,11,5,-9.00480896829775E+0000, 0.00000000000000E+0000,,11,6, 1.75061175165104E+0000, 0.00000000000000E+0000,,
OtsAC14SFMK_0001,11,OtsAC09SFMK_0437,11,11,1, 1.00604815152145E+0001, 5.70986409453736E+0000,*,OtsAC11SFMK_0051,11,11,4,-3.07683831766178E+0000, 0.00000000000000E+0000,,11,6, 1.73927778541821E+0000, 0.00000000000000E+0000,,
