Offspring ID,Loci typed,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
OtsAC19SFMK_0002,11,OtsAC14MCKR_0074,11,11,5,-7.54117973573461E+0000, 0.00000000000000E+0000,,OtsAC15SFMK_0170,11,11,1, 1.03756738479254E+0001, 1.03756738479254E+0001,*,11,6, 2.13760848617782E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0002,11,OtsAC15MCKR_0405,9,9,1, 1.08334718910683E+0001, 1.08334718910683E+0001,*,OtsAC16MCKR_0007,11,11,5,-9.81665667307105E+0000, 0.00000000000000E+0000,,11,5, 2.01010079153445E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0002,11,OtsAC15MCKR_0405,9,9,1, 1.08334718910683E+0001, 1.08334718910683E+0001,*,OtsAC15MCKR_0737,9,9,5,-1.08294921992834E+0001, 0.00000000000000E+0000,,9,5, 1.89505790699998E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0002,11,OtsAC13SFMK_4665,11,11,4,-3.98195840550684E+0000, 0.00000000000000E+0000,,OtsAC15SFMK_0170,11,11,1, 1.03756738479254E+0001, 1.03756738479254E+0001,*,11,6, 1.53427784798063E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0002,11,OtsAC14MCKR_0152,11,11,5,-8.39929022563462E+0000, 0.00000000000000E+0000,,OtsAC15SFMK_0170,11,11,1, 1.03756738479254E+0001, 1.03756738479254E+0001,*,11,6, 1.49128898019245E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0002,11,OtsAC15MCKR_0405,9,9,1, 1.08334718910683E+0001, 1.08334718910683E+0001,*,OtsAC14MCKR_0088,11,11,6,-1.20609777685058E+0001, 0.00000000000000E+0000,,11,6, 1.32590762003747E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0002,11,OtsAC15MCKR_0283,9,9,5,-1.12655905525977E+0001, 0.00000000000000E+0000,,OtsAC15SFMK_0170,11,11,1, 1.03756738479254E+0001, 1.03756738479254E+0001,*,11,5, 1.22203347341762E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0002,11,OtsAC15MCKR_0405,9,9,1, 1.08334718910683E+0001, 1.08334718910683E+0001,*,OtsAC16MCKR_0262,10,10,5,-1.20089972321449E+0001, 0.00000000000000E+0000,,11,5, 1.14790102087651E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0002,11,OtsAC15MCKR_0405,9,9,1, 1.08334718910683E+0001, 1.08334718910683E+0001,*,OtsAC16SFMK_1078,11,11,6,-1.18064992041862E+0001, 0.00000000000000E+0000,,11,6, 1.07971477634903E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0002,11,OtsAC15MCKR_0405,9,9,1, 1.08334718910683E+0001, 1.08334718910683E+0001,*,OtsAC15MCKR_0367,9,9,5,-1.08498039312363E+0001, 0.00000000000000E+0000,,9,5, 9.83654962999759E-0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0002,11,OtsAC15MCKR_0797,11,11,4,-7.55840062709780E-0001, 0.00000000000000E+0000,,OtsAC15SFMK_0170,11,11,1, 1.03756738479254E+0001, 1.03756738479254E+0001,*,11,7, 8.18669374778063E-0001, 0.00000000000000E+0000,,
