Pedigree Name	Individual Name	MotherID	FatherID	SubBasin	Stream	IndividualSampleLocation	DateSampled	Marks	Gender	LengthFork1	Eggs%	FieldID1	DNA	ScaleNumber	CommentsGeneral	Run	SpeciesID
OtsCC18MCKR	OtsCC18MCKR_4081			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/10/2018	Unclipped	Female	640	0 - 25%	4081	Y	18401		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4082			McKenzie	Horse Creek	Avenue Creek to Bridge	10/8/2018	Unclipped	Female	710	0 - 25%	4082	Y	19536	Only 1 Otolith Taken	Spring	17
OtsCC18MCKR	OtsCC18MCKR_4084			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/8/2018	Unclipped	Male	625		4084	Y	30009		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4085			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/8/2018	Unclipped	Male	775		4085	Y	30016		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4086			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/10/2018	Unclipped	Female	560	0 - 25%	4086	Y	19542		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4087			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/8/2018	Unclipped	Female	660	0 - 25%	4087	Y	18468		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4088			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/8/2018	Unclipped	Female	630	0 - 25%	4088	Y	30018		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4089			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/8/2018	Unclipped	Male	630		4089	Y	30019		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4090			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/8/2018	Unclipped	Male	650		4090	Y	18470		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4092			McKenzie	South Fork McKenzie	Bridge to Mouth	10/11/2018	Unclipped	Female	720	0 - 25%	4092	Y	19526		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4094			McKenzie	South Fork McKenzie	Bridge to Mouth	10/11/2018	Unclipped	Female	650	0 - 25%	4094	Y	18403		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4095			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/8/2018	Unclipped	Female	635	0 - 25%	4095	Y	18467		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4096			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/8/2018	Unclipped	Female	725	0 - 25%	4096	Y	30020		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4097			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/8/2018	Unclipped	Female	560	0 - 25%	4097	Y	18471		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4098			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/8/2018	Unclipped	Female	530	0 - 25%	4098	Y	19950		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4099			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/8/2018	Unclipped	Female	725	0 - 25%	4099	Y	19946		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4100			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/8/2018	Unclipped	Female	570	0 - 25%	4100	Y	18469		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4101			McKenzie	Lost Creek	Cascade to Campground	10/3/2018	Unclipped	Female	605	0 - 25%	4101	Y	30054		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4102			McKenzie	McKenzie	South Fork McKenzie to Forest Glen	9/24/2018	Unclipped	Male	800		4102	Y	15557		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4103			McKenzie	McKenzie	McKenzie Bridge to Hamlin	9/24/2018	Unclipped	Male	660		4103	Y	14713		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4104			McKenzie	Horse Creek	Bridge to Mouth	9/27/2018	Unclipped	Female	750	0 - 25%	4104	Y	18560		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4105			McKenzie	Horse Creek	Bridge to Mouth	9/27/2018	Unclipped	Male	750		4105	Y	18561		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4106			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	9/25/2018	Unclipped	Male	570		4106	Y	17058		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4107			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	9/25/2018	Unclipped	Male	620		4107	Y	17059	Scales Not from Preferred Area	Spring	17
OtsCC18MCKR	OtsCC18MCKR_4108			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	9/25/2018	Unclipped	Male	570		4108	Y	17060		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4109			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	9/25/2018	Unclipped	Male	600		4109	Y	18462		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4110			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	9/25/2018	Unclipped	Male	540		4110	Y	18452		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4111			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/1/2018	Unclipped	Female	630	0 - 25%	4111	Y	18445	Oto 4111	Spring	17
