Pedigree	SFGL_ID	SEQ #	Survey Date	River	Survey Type	Crew Initials	Crew Initials	Start Time	End Time	Water Temp	Reach	Fish ID	Time Collected	Clipped (Y/N)	F.L (cm)	Sex (M/F)	DNA Sampled (Y/N)	Scale Sampled (Y/N)	Otolith (Y/N)	Egg Retention % (F only)	ODFW CWT number	Floy Tag (Y/N)	Floy tag color	Floy tag number	Comments	Entered By	Date Entered	Checked By	Date Checked
OtsCC19MFWR	OtsCC19MFWR_1860	19	9/4/2019	Middle Fork Willamette	Raft & IK	PH,BL	KH	10:45	12:50	18.0	Dexter to Pengra Landing	1860	10:50	Y	73	M	Y	Y	N	N/A	19P_7726	N	N/A	N/A	CWT	MRM	14-Sep-19	EP	13-Oct-19
OtsCC19MFWR	OtsCC19MFWR_1856	20	9/4/2019	Middle Fork Willamette	Raft & IK	PH,BL	KH	10:45	12:50	18.0	Dexter to Pengra Landing	1856	10:55	Y	56	M	Y	Y	N	N/A	19P_7727	N	N/A	N/A	Photo 4218 Camera 0166 CWT	MRM	14-Sep-19	EP	13-Oct-19
OtsCC19MFWR	OtsCC19MFWR_1857	21	9/4/2019	Middle Fork Willamette	Raft & IK	PH,BL	KH	10:45	12:50	18.0	Dexter to Pengra Landing	1857	11:55	Y	70	M	Y	Y	N	N/A	19P_7728	N	N/A	N/A	CWT	MRM	14-Sep-19	EP	13-Oct-19
OtsCC19MFWR	OtsCC19MFWR_1858	22	9/4/2019	Middle Fork Willamette	Raft & IK	PH,BL	KH	10:45	12:50	18.0	Dexter to Pengra Landing	1858	11:30	Y	63	M	Y	Y	N	N/A	19P_7729	N	N/A	N/A	CWT	MRM	14-Sep-19	EP	13-Oct-19
OtsCC19MFWR	OtsCC19MFWR_1855	23	9/4/2019	Middle Fork Willamette	Raft & IK	PH,BL	KH	10:45	12:50	18.0	Dexter to Pengra Landing	1855	11:00	Y	60	F	Y	Y	N	UNKNOWN	19P_7730	N	N/A	N/A	Photo 4222 Camera 2 eggs CWT	MRM	14-Sep-19	EP	13-Oct-19
OtsCC19MFWR	OtsCC19MFWR_1357	24	9/4/2019	Middle Fork Willamette	Raft & IK	PH,BL	KH	12:55	14:50	18.2	Pengra Landing to Jasper	1357	13:10	N	66	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	14-Sep-19	EP	13-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2115	25	9/11/2019	South Santiam	Raft	DA	BD	9:36	12:27	11.2	Foster Dam to Pleasant Valley	2115	10:13	Y	83	F	Y	Y	N	0	N/A	N	N/A	N/A	19P_8001 CWT ID- Scanned at Field house, does not have Coded wire tag, scanned with V reader.	MP	11-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2124	26	9/11/2019	South Santiam	Raft	MP	PH	9:45	11:50	13.3	Pleasant Valley to McDowell Creek	2124	10:30	N	86	F	Y	Y	Y	100	N/A	N	N/A	N/A		MP	11-Sep-19	MRM	17-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1330	27	9/12/2019	McKenzie	Raft	MP	KH	10:45	13:58	12.2	Deerhorn to Hendricks	1330	12:20	N	85	F	Y	Y	Y	0	N/A	N	N/A	N/A	Picture number 384-4114 Camera 0171, estimated start time and water temp	MRM	14-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_0471	28	9/14/2019	Horse Creek	Walk	CH	EP	9:20	12:32	10.2	Pothole to Trailbridge	471	10:48	N	UNKNOWN	M	Y	Y	N	N/A	N/A	N	N/A	N/A	No Head, scavenged	MRM	17-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_0472	29	9/14/2019	Horse Creek	Walk	CH	EP	9:20	12:32	10.2	Pothole to Trailbridge	472	11:59	N	78	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	17-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1239	30	9/16/2019	McKenzie	Raft & IK	BL,MP,PH	CH,EP	10:45	14:20	8.0	Forrest Glen to Rosborro	1239	11:10	N	90	M	Y	Y	Y	N/A	19P_7703	N	N/A	N/A	only one otolith - other one broke, CWT  19P_7703	MRM	17-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1240	31	9/16/2019	McKenzie	Raft & IK	BL,MP,PH	CH,EP	10:45	14:20	8.0	Forrest Glen to Rosborro	1240	10:50	Y	74	F	Y	Y	N	10	N/A	N	N/A	N/A		MRM	17-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1238	32	9/16/2019	McKenzie	Raft & IK	BL,MP,PH	CH,EP	10:45	14:20	8.0	Forrest Glen to Rosborro	1238	11:10	Y	77	F	Y	Y	N	90	N/A	N	N/A	N/A	adclip partial regrowth	MRM	17-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1236	33	9/16/2019	McKenzie	Raft & IK	BL,MP,PH	CH,EP	10:45	14:20	8.0	Forrest Glen to Rosborro	1236	11:40	N	83	F	Y	Y	Y	50	N/A	N	N/A	N/A		MRM	17-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1237	34	9/16/2019	McKenzie	Raft & IK	BL,MP,PH	CH,EP	10:45	14:20	8.0	Forrest Glen to Rosborro	1237	11:40	N	92	M	Y	Y	Y	N/A	N/A	N	N/A	N/A	only 3 scales - plated up	MRM	17-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1231	35	9/16/2019	McKenzie	Raft & IK	BL,MP,PH	CH,EP	10:45	14:20	8.0	Forrest Glen to Rosborro	1231	12:30	Y	68	F	Y	Y	N	5	N/A	N	N/A	N/A		MRM	17-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1232	36	9/16/2019	McKenzie	Raft & IK	BL,MP,PH	CH,EP	10:45	14:20	8.0	Forrest Glen to Rosborro	1232	12:30	N	78	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	17-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1233	37	9/16/2019	McKenzie	Raft & IK	BL,MP,PH	CH,EP	10:45	14:20	8.0	Forrest Glen to Rosborro	1233	13:05	N	92	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	17-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1234	38	9/16/2019	McKenzie	Raft & IK	BL,MP,PH	CH,EP	10:45	14:20	8.0	Forrest Glen to Rosborro	1234	13:30	N	80	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	17-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1235	39	9/16/2019	McKenzie	Raft & IK	BL,MP,PH	CH,EP	10:45	14:20	8.0	Forrest Glen to Rosborro	1235	13:30	N	82	F	Y	Y	Y	10	N/A	N	N/A	N/A	Potential adclip regrowth	MRM	17-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1390	40	9/16/2019	McKenzie	Raft & IK	BL,MP,PH	CH,EP	10:45	14:20	8.0	Forrest Glen to Rosborro	1390	14:15	N	80	F	Y	Y	Y	5	N/A	N	N/A	N/A		MRM	17-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2123	41	9/16/2019	McKenzie	Raft	DA,MM	CZ,BD	12:45	14:23	12.1	Helfrich to Leaburg Lake	2123	13:30	N	83	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	17-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_0003	42	9/18/2019	McKenzie	Raft 	PH	CZ	11:25	14:00	7.5	McKenzie Bridge to Hamlin	3	12:50	N	91	M	Y	Y	Y	N/A	N/A	N	N/A	N/A	ODFW surveying our reach in front of crew	MRM	23-Sep-19	EP	13-Oct-19
OtsCC19MFWR	OtsCC19MFWR_1356	43	9/19/2019	Middle Fork Willamette	Raft & IK	KH,PH	BL	9:56	12:00	17.1	Dexter to Pengra Landing	1356	10:20	Y	73	F	Y	Y	N	100	N/A	N	N/A	N/A		MRM	23-Sep-19	EP	13-Oct-19
OtsCC19MFWR	OtsCC19MFWR_1430	44	9/19/2019	Middle Fork Willamette	Raft & IK	KH,PH	BL	9:56	12:00	17.1	Dexter to Pengra Landing	1430	10:50	Y	68	M	Y	Y	N	N/A	N/A	N	N/A	N/A		MRM	23-Sep-19	EP	13-Oct-19
OtsCC19MFWR	OtsCC19MFWR_1464	45	9/19/2019	Middle Fork Willamette	Raft & IK	KH,PH	BL	9:56	12:00	17.1	Dexter to Pengra Landing	1464	11:20	Y	73	F	Y	Y	N	UNKNOWN	19P_7731	N	N/A	N/A	too scavenged to determine egg retention	MRM	23-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1321	46	9/20/2019	Horse Creek	IK	BL	CZ	9:55	12:14	8.9	Bridge to Mouth	1321	10:09	N	90	M	Y	Y	Y	N/A	N/A	N	N/A	N/A	DNA from pectoral fin	MRM	24-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1322	47	9/20/2019	Horse Creek	IK	BL	CZ	9:55	12:14	8.9	Bridge to Mouth	1322	10:28	N	78	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	24-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1323	48	9/20/2019	Horse Creek	IK	BL	CZ	9:55	12:14	8.9	Bridge to Mouth	1323	10:28	N	75	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	24-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1324	49	9/20/2019	Horse Creek	IK	BL	CZ	9:55	12:14	8.9	Bridge to Mouth	1324	11:17	N	75	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	24-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1325	50	9/20/2019	Horse Creek	IK	BL	CZ	9:55	12:14	8.9	Bridge to Mouth	1325	11:17	UNKNOWN	77	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	24-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1541	51	9/20/2019	McKenzie	Raft	DA,EP	KH,PH	13:15	16:45	10.8	Rosborro to Ben and Kay	1541	13:40	N	83	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	23-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1542	52	9/20/2019	McKenzie	Raft	DA,EP	KH,PH	13:15	16:45	10.8	Rosborro to Ben and Kay	1542	13:40	Y	78	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	23-Sep-19	EP	13-Oct-19
